Motif	Factor	Evidence	Curated
M5917_1.02	TFAP2B	SELEX	Y
M5917_1.02	TFAP2E	SELEX	N
M5917_1.02	Tcfap2d	SELEX	N
M5917_1.02	TFAP2B	SELEX	Y
M5917_1.02	TFAP2E	SELEX	N
M5917_1.02	Tcfap2d	SELEX	N
M5917_1.02	TFAP2B	SELEX	Y
M5917_1.02	TFAP2E	SELEX	N
M5917_1.02	Tcfap2d	SELEX	N
M5918_1.02	TFAP2B	SELEX	Y
M5918_1.02	TFAP2E	SELEX	N
M5918_1.02	Tcfap2d	SELEX	N
M5918_1.02	TFAP2B	SELEX	Y
M5918_1.02	TFAP2E	SELEX	N
M5918_1.02	Tcfap2d	SELEX	N
M5918_1.02	TFAP2B	SELEX	Y
M5918_1.02	TFAP2E	SELEX	N
M5918_1.02	Tcfap2d	SELEX	N
M5919_1.02	TFAP2B	SELEX	Y
M5919_1.02	TFAP2E	SELEX	N
M5919_1.02	Tcfap2d	SELEX	N
M5919_1.02	TFAP2B	SELEX	Y
M5919_1.02	TFAP2E	SELEX	N
M5919_1.02	Tcfap2d	SELEX	N
M5919_1.02	TFAP2B	SELEX	Y
M5919_1.02	TFAP2E	SELEX	N
M5919_1.02	Tcfap2d	SELEX	N
M6144_1.02	TFAP2B	ChIP-seq	Y
M6144_1.02	TFAP2E	ChIP-seq	N
M6144_1.02	Tcfap2d	ChIP-seq	N
M6144_1.02	TFAP2B	ChIP-seq	Y
M6144_1.02	TFAP2E	ChIP-seq	N
M6144_1.02	Tcfap2d	ChIP-seq	N
M6144_1.02	TFAP2B	ChIP-seq	Y
M6144_1.02	TFAP2E	ChIP-seq	N
M6144_1.02	Tcfap2d	ChIP-seq	N
M6146_1.02	TFAP2D	ChIP-seq	Y
M6146_1.02	TFAP2E	ChIP-seq	N
M6146_1.02	Tcfap2d	ChIP-seq	N
M6146_1.02	TFAP2D	ChIP-seq	Y
M6146_1.02	TFAP2E	ChIP-seq	N
M6146_1.02	Tcfap2d	ChIP-seq	N
M6146_1.02	TFAP2D	ChIP-seq	Y
M6146_1.02	TFAP2E	ChIP-seq	N
M6146_1.02	Tcfap2d	ChIP-seq	N
M2320_1.02	TFAP2C	JASPAR	Y
M2320_1.02	TFAP2E	JASPAR	N
M2320_1.02	Tcfap2d	JASPAR	N
M2320_1.02	TFAP2C	JASPAR	Y
M2320_1.02	TFAP2E	JASPAR	N
M2320_1.02	Tcfap2d	JASPAR	N
M2320_1.02	TFAP2C	JASPAR	Y
M2320_1.02	TFAP2E	JASPAR	N
M2320_1.02	Tcfap2d	JASPAR	N
M2939_1.02	TFAP2C	Transfac	Y
M2939_1.02	TFAP2E	Transfac	N
M2939_1.02	Tcfap2d	Transfac	N
M2939_1.02	TFAP2C	Transfac	Y
M2939_1.02	TFAP2E	Transfac	N
M2939_1.02	Tcfap2d	Transfac	N
M2939_1.02	TFAP2C	Transfac	Y
M2939_1.02	TFAP2E	Transfac	N
M2939_1.02	Tcfap2d	Transfac	N
M4525_1.02	TFAP2C	ChIP-seq	Y
M4525_1.02	TFAP2E	ChIP-seq	N
M4525_1.02	Tcfap2d	ChIP-seq	N
M4525_1.02	TFAP2C	ChIP-seq	Y
M4525_1.02	TFAP2E	ChIP-seq	N
M4525_1.02	Tcfap2d	ChIP-seq	N
M4525_1.02	TFAP2C	ChIP-seq	Y
M4525_1.02	TFAP2E	ChIP-seq	N
M4525_1.02	Tcfap2d	ChIP-seq	N
M5920_1.02	TFAP2C	SELEX	Y
M5920_1.02	TFAP2E	SELEX	N
M5920_1.02	Tcfap2d	SELEX	N
M5920_1.02	TFAP2C	SELEX	Y
M5920_1.02	TFAP2E	SELEX	N
M5920_1.02	Tcfap2d	SELEX	N
M5920_1.02	TFAP2C	SELEX	Y
M5920_1.02	TFAP2E	SELEX	N
M5920_1.02	Tcfap2d	SELEX	N
M5921_1.02	TFAP2C	SELEX	Y
M5921_1.02	TFAP2E	SELEX	N
M5921_1.02	Tcfap2d	SELEX	N
M5921_1.02	TFAP2C	SELEX	Y
M5921_1.02	TFAP2E	SELEX	N
M5921_1.02	Tcfap2d	SELEX	N
M5921_1.02	TFAP2C	SELEX	Y
M5921_1.02	TFAP2E	SELEX	N
M5921_1.02	Tcfap2d	SELEX	N
M5922_1.02	TFAP2C	SELEX	Y
M5922_1.02	TFAP2E	SELEX	N
M5922_1.02	Tcfap2d	SELEX	N
M5922_1.02	TFAP2C	SELEX	Y
M5922_1.02	TFAP2E	SELEX	N
M5922_1.02	Tcfap2d	SELEX	N
M5922_1.02	TFAP2C	SELEX	Y
M5922_1.02	TFAP2E	SELEX	N
