Motif	Factor	Evidence	Curated
SIX5_disc1 SIX5_GM12878_encode-Myers_seq_hsa_r1:MEME#1#Intergenic	SIX5	ChIP-seq	N
MYC_disc1 USF2_K562_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	USF2	ChIP-seq	N
SRF_disc1 SRF_H1-hESC_encode-Myers_seq_hsa_r1:MDscan#2#Intergenic	SRF	ChIP-seq	N
AP1_disc1 JUND_K562_encode-Snyder_seq_hsa_r1:MEME#1#Intergenic	JUND	ChIP-seq	N
SIX5_disc2 SIX5_H1-hESC_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic	SIX5	ChIP-seq	N
NFY_disc1 NFYA_K562_encode-Snyder_seq_hsa_r1:MEME#2#Intergenic	NFYA	ChIP-seq	N
ATF3_disc1 ATF3_GM12878_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic	ATF3	ChIP-seq	N
NFE2_disc1 NFE2_K562_encode-Snyder_seq_hsa_r1:AlignACE#1#Intergenic	NFE2	ChIP-seq	N
NFE2_disc2 NFE2_GM12878_encode-Snyder_seq_hsa_H-230_r1:MDscan#3#Intergenic	NFE2	ChIP-seq	N
BRCA1_disc1 BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_r1:MEME#1#Intergenic	BRCA1	ChIP-seq	N
AP1_disc2 FOS_GM12878_encode-Snyder_seq_hsa_r1:MEME#1#Intergenic	FOS	ChIP-seq	N
CTCF_disc1 CTCF_HUVEC_encode-Crawford_seq_hsa_r1:MEME#3#Intergenic	CTCF	ChIP-seq	N
CEBPB_disc1 CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_r1:MDscan#2#Intergenic	CEBPB	ChIP-seq	N
ZBTB33_disc1 ZBTB33_HepG2_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic	ZBTB33	ChIP-seq	N
ETS_disc1 ETS1_K562_encode-Myers_seq_hsa_v041610.1_r1:Trawler#1#Intergenic	ETS1	ChIP-seq	N
AP1_disc3 FOS_K562_encode-White_seq_hsa_eGFP_r1:MDscan#3#Intergenic	FOS	ChIP-seq	N
NRF1_disc1 NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_r1:MEME#2#Intergenic	NRF1	ChIP-seq	N
REST_disc1 REST_GM12878_encode-Myers_seq_hsa_PCR2x_r1:MEME#2#Intergenic	REST	ChIP-seq	N
YY1_disc1 YY1_NT2-D1_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic	YY1	ChIP-seq	N
RAD21_disc1 RAD21_GM12878_encode-Snyder_seq_hsa_IgG-rab_r1:MEME#3#Intergenic	RAD21	ChIP-seq	N
ETS_disc2 GABPA_H1-hESC_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic	GABPA	ChIP-seq	N
MAF_disc1 MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_r1:MDscan#1#Intergenic	MAFK	ChIP-seq	N
SP2_disc1 SP2_K562_encode-Myers_seq_hsa_v041610.2-SC-643_r1:MEME#2#Intergenic	SP2	ChIP-seq	N
IRF_disc1 IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_r1:MDscan#3#Intergenic	IRF3	ChIP-seq	N
REST_disc2 REST_U87_encode-Myers_seq_hsa_PCR2x_r1:MDscan#2#Intergenic	REST	ChIP-seq	N
ETS_disc3 ETS1_GM12878_encode-Myers_seq_hsa_r1:MDscan#3#Intergenic	ETS1	ChIP-seq	N
BCL_disc1 BCLAF1_K562_encode-Myers_seq_hsa_M33-P5B11_r1:MDscan#2#Intergenic	BCLAF1	ChIP-seq	N
SP1_disc1 SP1_H1-hESC_encode-Myers_seq_hsa_r1:MEME#3#Intergenic	SP1	ChIP-seq	N
NFKB_disc1 NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_r1:MDscan#1#Intergenic	NFKB1	ChIP-seq	N
RFX5_disc1 RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_r1:MDscan#1#Intergenic	RFX5	ChIP-seq	N
SMC3_disc1 SMC3_GM12878_encode-Snyder_seq_hsa_IgG-mus-ab9263_r1:MEME#2#Intergenic	SMC3	ChIP-seq	N
TAL1_disc1 TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_r1:MEME#3#Intergenic	TAL1	ChIP-seq	N
CHD2_disc1 CHD2_K562_encode-Snyder_seq_hsa_IgG-rab-N-1250_r1:MDscan#3#Intergenic	CHD2	ChIP-seq	N
SPI1_disc1 SPI1_K562_encode-Myers_seq_hsa_r1:MDscan#2#Intergenic	SPI1	ChIP-seq	N
RFX5_disc2 RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_r1:MEME#1#Intergenic	RFX5	ChIP-seq	N
GATA_disc1 GATA1_K562b_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	GATA1	ChIP-seq	N
ELF1_disc1 ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_r1:MDscan#3#Intergenic	ELF1	ChIP-seq	N
POU2F2_disc1 POU2F2_GM12891_encode-Myers_seq_hsa_r1:Weeder#2#Intergenic	POU2F2	ChIP-seq	N
BATF_disc1 BATF_GM12878_encode-Myers_seq_hsa_r1:AlignACE#1#Intergenic	BATF	ChIP-seq	N
SIX5_disc3 SIX5_H1-hESC_encode-Myers_seq_hsa_r1:Trawler#2#Intergenic	SIX5	ChIP-seq	N
NR2C2_disc1 NR2C2_HeLa-S3_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	NR2C2	ChIP-seq	N
HNF4_disc1 HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_r1:MEME#2#Intergenic	HNF4G	ChIP-seq	N
BHLHE40_disc1 BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_r1:MDscan#2#Intergenic	BHLHE40	ChIP-seq	N
STAT_disc1 STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_r1:MDscan#1#Intergenic	STAT1	ChIP-seq	N
SPI1_disc2 SPI1_GM12878_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic	SPI1	ChIP-seq	N
THAP1_disc1 THAP1_K562_encode-Myers_seq_hsa_v041610.1-SC-98174_r1:MEME#3#Intergenic	THAP1	ChIP-seq	N
MXI1_disc1 MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_r1:MEME#3#Intergenic	MXI1	ChIP-seq	N
TCF7L2_disc1 TCF7L2_HCT-116_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	TCF7L2	ChIP-seq	N
REST_disc3 REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_r1:MEME#1#Intergenic	REST	ChIP-seq	N
CTCF_disc2 CTCF_A549_encode-Myers_seq_hsa_DEX-100nM_r1:Trawler#1#Intergenic	CTCF	ChIP-seq	N
SP2_disc2 SP2_K562_encode-Myers_seq_hsa_v041610.2-SC-643_r1:MEME#3#Intergenic	SP2	ChIP-seq	N
EBF1_disc1 EBF1_GM12878_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	EBF1	ChIP-seq	N
STAT_disc2 STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_r1:MDscan#2#Intergenic	STAT3	ChIP-seq	N
PRDM1_disc1 PRDM1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-Val90_r1:MDscan#1#Intergenic	PRDM1	ChIP-seq	N
ZNF143_disc1 ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_r1:MDscan#2#Intergenic	ZNF143	ChIP-seq	N
SMARC_disc1 SMARCB1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_r1:MEME#1#Intergenic	SMARCB1	ChIP-seq	N
CTCF_disc3 CTCF_K562_encode-Crawford_seq_hsa_r1:Trawler#3#Intergenic	CTCF	ChIP-seq	N
POU5F1_disc1 POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_r1:MEME#2#Intergenic	POU5F1	ChIP-seq	N
EP300_disc1 EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_r1:MDscan#3#Intergenic	EP300	ChIP-seq	N
FOXA_disc1 FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_r1:MDscan#1#Intergenic	FOXA1	ChIP-seq	N
ESRRA_disc1 ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_r1:MEME#2#Intergenic	ESR1	ChIP-seq	N
RAD21_disc2 RAD21_HepG2_encode-Snyder_seq_hsa_IgG-rab_r1:Weeder#2#Intergenic	RAD21	ChIP-seq	N
PBX3_disc1 PBX3_GM12878_encode-Myers_seq_hsa_r1:MEME#1#Intergenic	PBX3	ChIP-seq	N
SREBP_disc1 SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_r1:MEME#2#Intergenic	SREBF1	ChIP-seq	N
BCL_disc2 BCL11A_GM12878_encode-Myers_seq_hsa_r1:MDscan#3#Intergenic	BCL11A	ChIP-seq	N
MYC_disc2 MYC_K562_encode-Crawford_seq_hsa_r1:MEME#2#Intergenic	MYC	ChIP-seq	N
ATF3_disc2 ATF3_K562_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic	ATF3	ChIP-seq	N
CTCF_disc4 CTCF_HUVEC_encode-Crawford_seq_hsa_r1:AlignACE#3#Intergenic	CTCF	ChIP-seq	N
E2F_disc1 E2F1_HeLa-S3_encode-Snyder_seq_hsa_r1:MDscan#2#Intergenic	E2F1	ChIP-seq	N
ZNF143_disc2 ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_r1:MEME#1#Intergenic	ZNF143	ChIP-seq	N
ETS_disc4 GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_r1:Trawler#3#Intergenic	GABPA	ChIP-seq	N
EP300_disc2 EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_r1:MEME#2#Intergenic	EP300	ChIP-seq	N
NR3C1_disc1 NR3C1_ECC-1_encode-Myers_seq_hsa_DEX-100nM-v041610.2_r1:MEME#2#Intergenic	NR3C1	ChIP-seq	N
MYC_disc3 MAX_HeLa-S3_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic	MAX	ChIP-seq	N
RAD21_disc3 RAD21_GM12878_encode-Snyder_seq_hsa_IgG-rab_r1:Trawler#2#Intergenic	RAD21	ChIP-seq	N
STAT_disc3 STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_r1:AlignACE#1#Intergenic	STAT1	ChIP-seq	N
PAX5_disc1 PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_r1:MEME#3#Intergenic	PAX5	ChIP-seq	N
NR3C1_disc2 NR3C1_A549_encode-Myers_seq_hsa_DEX-500pM_r1:MDscan#1#Intergenic	NR3C1	ChIP-seq	N
SIN3A_disc1 SIN3A_H1-hESC_encode-Myers_seq_hsa_r1:MEME#2#Intergenic	SIN3A	ChIP-seq	N
SIN3A_disc2 SIN3A_K562_encode-Myers_seq_hsa_v041610.1_r1:MDscan#1#Intergenic	SIN3A	ChIP-seq	N
MEF2_disc1 MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_r1:MEME#2#Intergenic	MEF2C	ChIP-seq	N
MYC_disc4 MAX_H1-hESC_encode-Snyder_seq_hsa_r1:MDscan#2#Intergenic	MAX	ChIP-seq	N
