Motif	Factor	Evidence	Curated
AHR_HUMAN.H10MO.B	AHR	ChIP-seq	Y
AIRE_HUMAN.H10MO.C	AIRE	ChIP-seq	Y
ALX1_HUMAN.H10MO.B	ALX1	ChIP-seq	Y
ALX3_HUMAN.H10MO.D	ALX3	ChIP-seq	Y
ALX4_HUMAN.H10MO.D	ALX4	ChIP-seq	Y
ANDR_HUMAN.H10MO.A	AR	ChIP-seq	Y
AP2A_HUMAN.H10MO.C	TFAP2A	ChIP-seq	Y
AP2B_HUMAN.H10MO.B	TFAP2B	ChIP-seq	Y
AP2C_HUMAN.H10MO.A	TFAP2C	ChIP-seq	Y
AP2D_HUMAN.H10MO.D	TFAP2D	ChIP-seq	Y
ARI3A_HUMAN.H10MO.D	ARID3A	ChIP-seq	Y
ARI3A_HUMAN.H10MO.S	ARID3A	ChIP-seq	Y
ARI5B_HUMAN.H10MO.C	ARID5B	ChIP-seq	Y
ARNT2_HUMAN.H10MO.D	ARNT2	ChIP-seq	Y
ARNT_HUMAN.H10MO.B	ARNT	ChIP-seq	Y
ARX_HUMAN.H10MO.D	ARX	ChIP-seq	Y
ASCL2_HUMAN.H10MO.D	ASCL2	ChIP-seq	Y
ATF1_HUMAN.H10MO.B	ATF1	ChIP-seq	Y
ATF2_HUMAN.H10MO.B	ATF2	ChIP-seq	Y
ATF3_HUMAN.H10MO.A	ATF3	ChIP-seq	Y
ATF6A_HUMAN.H10MO.B	ATF6	ChIP-seq	Y
ATF7_HUMAN.H10MO.D	ATF7	ChIP-seq	Y
ATOH1_HUMAN.H10MO.D	ATOH1	ChIP-seq	Y
BACH1_HUMAN.H10MO.A	BACH1	ChIP-seq	Y
BARH1_HUMAN.H10MO.D	BARHL1	ChIP-seq	Y
BARH2_HUMAN.H10MO.D	BARHL2	ChIP-seq	Y
BARX1_HUMAN.H10MO.D	BARX1	ChIP-seq	Y
BARX2_HUMAN.H10MO.D	BARX2	ChIP-seq	Y
BATF3_HUMAN.H10MO.D	BATF3	ChIP-seq	Y
BATF_HUMAN.H10MO.A	BATF	ChIP-seq	Y
BATF_HUMAN.H10MO.S	BATF	ChIP-seq	Y
BC11A_HUMAN.H10MO.C	BCL11A	ChIP-seq	Y
BCL6B_HUMAN.H10MO.D	BCL6B	ChIP-seq	Y
BCL6_HUMAN.H10MO.C	BCL6	ChIP-seq	Y
BHA15_HUMAN.H10MO.D	BHLHA15	ChIP-seq	Y
BHE22_HUMAN.H10MO.D	BHLHE22	ChIP-seq	Y
BHE23_HUMAN.H10MO.D	BHLHE23	ChIP-seq	Y
BHE40_HUMAN.H10MO.A	BHLHE40	ChIP-seq	Y
BHE41_HUMAN.H10MO.D	BHLHE41	ChIP-seq	Y
BMAL1_HUMAN.H10MO.C	ARNTL	ChIP-seq	Y
BPTF_HUMAN.H10MO.D	BPTF	ChIP-seq	Y
BRAC_HUMAN.H10MO.D	T	ChIP-seq	Y
BRCA1_HUMAN.H10MO.D	BRCA1	ChIP-seq	Y
BSH_HUMAN.H10MO.D	BSX	ChIP-seq	Y
CDC5L_HUMAN.H10MO.D	CDC5L	ChIP-seq	Y
CDX1_HUMAN.H10MO.C	CDX1	ChIP-seq	Y
CDX2_HUMAN.H10MO.C	CDX2	ChIP-seq	Y
CEBPA_HUMAN.H10MO.A	CEBPA	ChIP-seq	Y
CEBPB_HUMAN.H10MO.A	CEBPB	ChIP-seq	Y
CEBPD_HUMAN.H10MO.B	CEBPD	ChIP-seq	Y
CEBPE_HUMAN.H10MO.A	CEBPE	ChIP-seq	Y
CEBPG_HUMAN.H10MO.C	CEBPG	ChIP-seq	Y
CEBPZ_HUMAN.H10MO.D	CEBPZ	ChIP-seq	Y
CENPB_HUMAN.H10MO.D	CENPB	ChIP-seq	Y
CLOCK_HUMAN.H10MO.D	CLOCK	ChIP-seq	Y
COE1_HUMAN.H10MO.A	EBF1	ChIP-seq	Y
COT1_HUMAN.H10MO.B	NR2F1	ChIP-seq	Y
COT1_HUMAN.H10MO.S	NR2F1	ChIP-seq	Y
COT2_HUMAN.H10MO.A	NR2F2	ChIP-seq	Y
COT2_HUMAN.H10MO.S	NR2F2	ChIP-seq	Y
CPEB1_HUMAN.H10MO.D	CPEB1	ChIP-seq	Y
CR3L1_HUMAN.H10MO.D	CREB3L1	ChIP-seq	Y
CR3L2_HUMAN.H10MO.D	CREB3L2	ChIP-seq	Y
CREB1_HUMAN.H10MO.A	CREB1	ChIP-seq	Y
CREB3_HUMAN.H10MO.D	CREB3	ChIP-seq	Y
CREB5_HUMAN.H10MO.D	CREB5	ChIP-seq	Y
CREM_HUMAN.H10MO.C	CREM	ChIP-seq	Y
CRX_HUMAN.H10MO.C	CRX	ChIP-seq	Y
CTCFL_HUMAN.H10MO.A	CTCFL	ChIP-seq	Y
CTCF_HUMAN.H10MO.A	CTCF	ChIP-seq	Y
CUX1_HUMAN.H10MO.C	CUX1	ChIP-seq	Y
CUX2_HUMAN.H10MO.D	CUX2	ChIP-seq	Y
CXXC1_HUMAN.H10MO.D	CXXC1	ChIP-seq	Y
DBP_HUMAN.H10MO.B	DBP	ChIP-seq	Y
DDIT3_HUMAN.H10MO.C	DDIT3	ChIP-seq	Y
DLX1_HUMAN.H10MO.D	DLX1	ChIP-seq	Y
DLX2_HUMAN.H10MO.D	DLX2	ChIP-seq	Y
DLX3_HUMAN.H10MO.C	DLX3	ChIP-seq	Y
DLX4_HUMAN.H10MO.D	DLX4	ChIP-seq	Y
DLX5_HUMAN.H10MO.D	DLX5	ChIP-seq	Y
DLX6_HUMAN.H10MO.D	DLX6	ChIP-seq	Y
DMBX1_HUMAN.H10MO.D	DMBX1	ChIP-seq	Y
DPRX_HUMAN.H10MO.D	DPRX	ChIP-seq	Y
DRGX_HUMAN.H10MO.D	DRGX	ChIP-seq	Y
DUXA_HUMAN.H10MO.D	DUXA	ChIP-seq	Y
E2F1_HUMAN.H10MO.A	E2F1	ChIP-seq	Y
E2F2_HUMAN.H10MO.B	E2F2	ChIP-seq	Y
E2F3_HUMAN.H10MO.B	E2F3	ChIP-seq	Y
E2F4_HUMAN.H10MO.A	E2F4	ChIP-seq	Y
E2F5_HUMAN.H10MO.B	E2F5	ChIP-seq	Y
E2F6_HUMAN.H10MO.C	E2F6	ChIP-seq	Y
E2F7_HUMAN.H10MO.D	E2F7	ChIP-seq	Y
E2F8_HUMAN.H10MO.D	E2F8	ChIP-seq	Y
E4F1_HUMAN.H10MO.D	E4F1	ChIP-seq	Y
EGR1_HUMAN.H10MO.A	EGR1	ChIP-seq	Y
EGR1_HUMAN.H10MO.S	EGR1	ChIP-seq	Y
EGR2_HUMAN.H10MO.C	EGR2	ChIP-seq	Y
EGR3_HUMAN.H10MO.D	EGR3	ChIP-seq	Y
EGR4_HUMAN.H10MO.D	EGR4	ChIP-seq	Y
EHF_HUMAN.H10MO.C	EHF	ChIP-seq	Y
EHF_HUMAN.H10MO.S	EHF	ChIP-seq	Y
ELF1_HUMAN.H10MO.A	ELF1	ChIP-seq	Y
ELF2_HUMAN.H10MO.C	ELF2	ChIP-seq	Y
ELF3_HUMAN.H10MO.D	ELF3	ChIP-seq	Y
ELF5_HUMAN.H10MO.D	ELF5	ChIP-seq	Y
ELK1_HUMAN.H10MO.A	ELK1	ChIP-seq	Y
