Motif	Factor	Evidence	Curated
AHR_MOUSE.H11MO.0.B	Ahr	ChIP-seq	Y
AIRE_MOUSE.H11MO.0.C	Aire	ChIP-seq	Y
ALX1_MOUSE.H11MO.0.B	Alx1	ChIP-seq	Y
ANDR_MOUSE.H11MO.0.A	Ar	ChIP-seq	Y
AP2A_MOUSE.H11MO.0.A	Tfap2a	ChIP-seq	Y
AP2B_MOUSE.H11MO.0.B	Tfap2b	ChIP-seq	Y
AP2C_MOUSE.H11MO.0.A	Tfap2c	ChIP-seq	Y
ARI5B_MOUSE.H11MO.0.C	Arid5b	ChIP-seq	Y
ARNT_MOUSE.H11MO.0.B	Arnt	ChIP-seq	Y
ASCL1_MOUSE.H11MO.0.A	Ascl1	ChIP-seq	Y
ASCL2_MOUSE.H11MO.0.C	Ascl2	ChIP-seq	Y
ATF1_MOUSE.H11MO.0.B	Atf1	ChIP-seq	Y
ATF2_MOUSE.H11MO.0.A	Atf2	ChIP-seq	Y
ATF3_MOUSE.H11MO.0.A	Atf3	ChIP-seq	Y
ATF4_MOUSE.H11MO.0.A	Atf4	ChIP-seq	Y
ATOH1_MOUSE.H11MO.0.B	Atoh1	ChIP-seq	Y
BACH1_MOUSE.H11MO.0.C	Bach1	ChIP-seq	Y
BACH2_MOUSE.H11MO.0.A	Bach2	ChIP-seq	Y
BARX1_MOUSE.H11MO.0.C	Barx1	ChIP-seq	Y
BATF3_MOUSE.H11MO.0.A	Batf3	ChIP-seq	Y
BATF_MOUSE.H11MO.0.A	Batf	ChIP-seq	Y
BCL6_MOUSE.H11MO.0.A	Bcl6	ChIP-seq	Y
BHA15_MOUSE.H11MO.0.A	Bhlha15	ChIP-seq	Y
BHE40_MOUSE.H11MO.0.A	Bhlhe40	ChIP-seq	Y
BMAL1_MOUSE.H11MO.0.A	Arntl	ChIP-seq	Y
BRAC_MOUSE.H11MO.0.B	T	ChIP-seq	Y
CDX1_MOUSE.H11MO.0.C	Cdx1	ChIP-seq	Y
CDX2_MOUSE.H11MO.0.A	Cdx2	ChIP-seq	Y
CEBPA_MOUSE.H11MO.0.A	Cebpa	ChIP-seq	Y
CEBPB_MOUSE.H11MO.0.A	Cebpb	ChIP-seq	Y
CEBPD_MOUSE.H11MO.0.B	Cebpd	ChIP-seq	Y
CEBPE_MOUSE.H11MO.0.A	Cebpe	ChIP-seq	Y
CEBPG_MOUSE.H11MO.0.B	Cebpg	ChIP-seq	Y
CLOCK_MOUSE.H11MO.0.C	Clock	ChIP-seq	Y
COE1_MOUSE.H11MO.0.A	Ebf1	ChIP-seq	Y
COT1_MOUSE.H11MO.0.B	Nr2f1	ChIP-seq	Y
COT2_MOUSE.H11MO.0.A	Nr2f2	ChIP-seq	Y
CREB1_MOUSE.H11MO.0.A	Creb1	ChIP-seq	Y
CREM_MOUSE.H11MO.0.C	Crem	ChIP-seq	Y
CRX_MOUSE.H11MO.0.A	Crx	ChIP-seq	Y
CTCFL_MOUSE.H11MO.0.A	Ctcfl	ChIP-seq	Y
