Motif	Factor	Evidence	Curated
AHR_1.motif	AHR	Direct	N
AIRE_1.motif	AIRE	Direct	N
ALX1_2.motif	ALX1	Direct	N
ALX3_1.motif	ALX3	Direct	N
ALX3_2.motif	ALX3	Direct	N
ALX4_1.motif	ALX4	Direct	N
AR_1.motif	AR	Direct	N
CRX_1.motif	ARGFX	Inferred	N
CRX_1.motif	CRX	Direct	N
ARID3A_2.motif	ARID1A	Inferred	N
ARID3A_2.motif	ARID1B	Inferred	N
ARID3A_2.motif	ARID3A	Direct	N
ARID3A_2.motif	ARID4A	Inferred	N
ARID3A_2.motif	ARID4B	Inferred	N
ARID3A_2.motif	JARID2	Inferred	N
ARID3A_2.motif	KDM5A	Inferred	N
ARID3A_2.motif	KDM5B	Inferred	N
ARID3A_2.motif	KDM5C	Inferred	N
ARID3A_2.motif	KDM5D	Inferred	N
ARID2_1.motif	ARID2	Direct	N
ARID3B_1.motif	ARID3B	Direct	N
ARID3B_2.motif	ARID3B	Direct	N
ARID5A_1.motif	ARID5A	Direct	N
ARID5B_1.motif	ARID5B	Direct	N
ARNT_1.motif	ARNT	Direct	N
ARNT_2.motif	ARNT	Direct	N
ARNT2_1.motif	ARNT2	Direct	N
ARNTL_1.motif	ARNTL	Direct	N
ARNTL2_1.motif	ARNTL2	Direct	N
ARX_1.motif	ARX	Direct	N
MYF5_1.motif	ASCL1	Inferred	N
MYF5_1.motif	ASCL5	Inferred	N
MYF5_1.motif	MYF5	Direct	N
ASCL2_1.motif	ASCL2	Direct	N
MYF6_1.motif	ASCL3	Inferred	N
MYF6_1.motif	ASCL4	Inferred	N
MYF6_1.motif	MYF6	Direct	N
ATF1_1.motif	ATF1	Direct	N
ATF2_1.motif	ATF2	Direct	N
ATF3_1.motif	ATF3	Direct	N
ATF4_1.motif	ATF4	Direct	N
ATF5_1.motif	ATF5	Direct	N
ATF6_1.motif	ATF6	Direct	N
ATF6_1.motif	CREBZF	Inferred	N
ATF7_1.motif	ATF7	Direct	N
ATOH1_1.motif	ATOH1	Direct	N
ATOH7_1.motif	ATOH7	Direct	N
ATOH7_2.motif	ATOH7	Direct	N
ATOH8_1.Infer.motif	ATOH8	Indirect	N
BACH1_1.motif	BACH1	Direct	N
BACH2_1.motif	BACH2	Direct	N
BARHL1_1.motif	BARHL1	Direct	N
BARHL2_1.motif	BARHL2	Direct	N
BARHL2_2.motif	BARHL2	Direct	N
BARX1_2.motif	BARX1	Direct	N
BARX2_1.motif	BARX2	Direct	N
BARX2_1.motif	DBX1	Inferred	N
BATF_1.motif	BATF	Direct	N
BATF_1.motif	BATF2	Inferred	N
BATF3_1.motif	BATF3	Direct	N
BBX_1.Infer.motif	BBX	Indirect	N
BCL11A_1.motif	BCL11A	Direct	N
BCL6_1.motif	BCL6	Direct	N
BCL6B_1.motif	BCL6B	Direct	N
BHLHA15_1.motif	BHLHA15	Direct	N
PTF1A_1.motif	BHLHA9	Inferred	N
PTF1A_1.motif	PTF1A	Direct	N
BHLHE22_1.motif	BHLHE22	Direct	N
BHLHE23_1.motif	BHLHE23	Direct	N
BHLHE40_1.motif	BHLHE40	Direct	N
BHLHE41_1.motif	BHLHE41	Direct	N
BNC2_1.motif	BNC2	ZifRC	N
BPTF_1.motif	BPTF	Direct	N
BRCA1_1.motif	BRCA1	Direct	N
BSX_1.motif	BSX	Direct	N
CBFB_1.motif	CBFB	Direct	N
CDC5L_1.motif	CDC5L	Direct	N
CDC5L_1.motif	NCOR1	Inferred	N
CDC5L_1.motif	NCOR2	Inferred	N
CDC5L_1.motif	MIER3	Inferred	N
CDC5L_1.motif	MIER2	Inferred	N
CDC5L_1.motif	MIER1	Inferred	N
CDC5L_1.motif	DNAJC1	Inferred	N
CDX1_1.motif	CDX1	Direct	N
CDX2_1.motif	CDX2	Direct	N
CDX4_1.motif	CDX4	Direct	N
CDX4_3.motif	CDX4	Direct	N
CEBPA_1.motif	CEBPA	Direct	N
CEBPB_1.motif	CEBPB	Direct	N
CEBPD_1.motif	CEBPD	Direct	N
CEBPE_1.motif	CEBPE	Direct	N
CEBPG_1.motif	CEBPG	Direct	N
CEBPZ_1.motif	CEBPZ	Direct	N
CENPB_1.motif	CENPB	Direct	N
CIC_1.Infer.motif	CIC	Indirect	N
CLOCK_1.motif	CLOCK	Direct	N
CLOCK_1.motif	SOHLH1	Inferred	N
CPEB1_1.motif	CPEB1	Direct	N
CREB1_1.motif	CREB1	Direct	N
CREB3_2.motif	CREB3	Direct	N
CREB3L1_1.motif	CREB3L1	Direct	N
CREB3L1_2.motif	CREB3L1	Direct	N
CREB3L2_1.motif	CREB3L2	Direct	N
CREB3L3_1.motif	CREB3L3	Direct	N
CREB5_1.motif	CREB5	Direct	N
CREM_1.motif	CREBL2	Inferred	N
CREM_1.motif	CREM	Direct	N
CTCF_1.motif	CTCF	Direct	N
CTCF_2.motif	CTCF	Direct	N
CTCF_3.motif	CTCF	Direct	N
CTCFL_1.motif	CTCFL	Direct	N
CUX1_1.motif	CUX1	Direct	N
CUX1_2.motif	CUX1	Direct	N
CUX2_2.motif	CUX2	Direct	N
CXXC1_1.motif	CXXC1	Direct	N
DBP_1.motif	DBP	Direct	N
DBX2_1.motif	DBX2	Direct	N
DDIT3_1.motif	DDIT3	Direct	N
DLX1_1.motif	DLX1	Direct	N
DLX2_1.motif	DLX2	Direct	N
DLX3_1.motif	DLX3	Direct	N
DLX4_1.motif	DLX4	Direct	N
DLX5_1.motif	DLX5	Direct	N
DLX6_1.motif	DLX6	Direct	N
DMBX1_1.motif	DMBX1	Direct	N
DMC1_1.motif	DMC1	Direct	N
DMRT1_1.motif	DMRT1	Direct	N
DMRT2_1.motif	DMRT2	Direct	N
DMRT3_1.motif	DMRT3	Direct	N
DMRT3_1.motif	DMRTC2	Inferred	N
MYBL1_1.motif	DMTF1	Inferred	N
MYBL1_1.motif	DNAJC2	Inferred	N
MYBL1_1.motif	MYBL1	Direct	N
MYBL1_2.motif	DMTF1	Inferred	N
MYBL1_2.motif	DNAJC2	Inferred	N
MYBL1_2.motif	MYBL1	Direct	N
DPRX_1.motif	DPRX	Direct	N
DRGX_1.motif	DRGX	Direct	N
DUX4_1.motif	DUX4	Direct	N
DUX4_1.motif	DUX4L4	Inferred	N
DUX4_1.motif	DUX4L7	Inferred	N
DUXA_1.motif	DUXA	Direct	N
E2F1_1.motif	E2F1	Direct	N
E2F1_2.motif	E2F1	Direct	N
E2F2_1.motif	E2F2	Direct	N
E2F2_2.motif	E2F2	Direct	N
E2F3_1.motif	E2F3	Direct	N
E2F3_2.motif	E2F3	Direct	N
E2F4_1.motif	E2F4	Direct	N
E2F4_2.motif	E2F4	Direct	N
E2F5_1.motif	E2F5	Direct	N
E2F6_1.motif	E2F6	Direct	N
E2F7_1.motif	E2F7	Direct	N
E2F8_1.motif	E2F8	Direct	N
E4F1_1.motif	E4F1	Direct	N
EBF1_1.motif	EBF1	Direct	N
EBF1_1.motif	EBF2	Inferred	N
EBF1_1.motif	EBF4	Inferred	N
EGR1_1.motif	EGR1	Direct	N
EGR1_2.motif	EGR1	Direct	N
EGR2_1.motif	EGR2	Direct	N
EGR3_1.motif	EGR3	Direct	N
EGR4_1.motif	EGR4	Direct	N
EHF_1.motif	EHF	Direct	N
EHF_2.motif	EHF	Direct	N
