Motif	Factor	Evidence	Curated
MA0020.1_Dof2	Dof2	SELEX	Y
MA0021.1_Dof3	Dof3	SELEX	Y
MA0034.1_Gam1	Gam1	SELEX	Y
MA0044.1_HMG-1	HMG-1	SELEX	Y
MA0045.1_HMG-I/Y	HMG-I/Y	SELEX	Y
MA0053.1_MNB1A	MNB1A	SELEX	Y
MA0054.1_myb.Ph3	myb.Ph3	SELEX	Y
MA0064.1_PBF	PBF	SELEX	Y
MA0082.1_squamosa	squamosa	SELEX	Y
MA0096.1_bZIP910	bZIP910	SELEX	Y
MA0097.1_bZIP911	bZIP911	SELEX	Y
MA0120.1_id1	id1	SELEX	Y
MA0121.1_ARR10	ARR10	SELEX	Y
MA0123.1_abi4	abi4	SELEX	Y
MA0127.1_PEND	PEND	SELEX	Y
MA0128.1_EmBP-1	EmBP-1	SELEX	Y
MA0129.1_TGA1A	TGA1A	SELEX	Y
MA0549.1_BZR2	BZR2	ChIP-chip	Y
MA0551.1_HY5	HY5	ChIP-chip	Y
MA0552.1_PIF1	PIF1	ChIP-chip	Y
MA0553.1_SMZ	SMZ	ChIP-chip	Y
MA0554.1_SOC1	SOC1	ChIP-chip	Y
MA0555.1_SVP	SVP	ChIP-chip	Y
MA0556.1_AP3	AP3	ChIP-seq	Y
MA0557.1_FHY3	FHY3	ChIP-seq	Y
MA0558.1_FLC	FLC	ChIP-seq	Y
MA0559.1_PI	PI	ChIP-seq	Y
MA0560.1_PIF3	PIF3	ChIP-seq	Y
MA0561.1_PIF4	PIF4	ChIP-seq	Y
MA0562.1_PIF5	PIF5	ChIP-seq	Y
MA0563.1_SEP3	SEP3	ChIP-seq	Y
MA0564.1_ABI3	ABI3	PBM	Y
MA0565.1_FUS3	FUS3	PBM	Y
MA0566.1_MYC2	MYC2	PBM	Y
MA0567.1_ERF1B	ERF1B	PBM	Y
MA0568.1_MYC3	MYC3	PBM	Y
MA0569.1_MYC4	MYC4	PBM	Y
MA0570.1_ABF1	ABF1	SELEX	Y
MA0005.2_AG	AG	SELEX	Y
MA0571.1_ANT	ANT	SELEX	Y
MA0008.2_HAT5	HAT5	SELEX	Y
MA0110.2_ATHB-5	ATHB-5	SELEX	Y
MA0573.1_ATHB-9	ATHB-9	SELEX	Y
MA0574.1_MYB15	MYB15	SELEX	Y
MA0575.1_F3A4.140	F3A4.140	SELEX	Y
MA0576.1_RAX3	RAX3	SELEX	Y
MA0577.1_SPL3	SPL3	SELEX	Y
MA0578.1_SPL8	SPL8	SELEX	Y
MA0579.1_CDC5	CDC5	SELEX	Y
MA0580.1_DYT1	DYT1	SELEX	Y
MA0581.1_LEC2	LEC2	SELEX	Y
MA0582.1_RAV1	RAV1	SELEX	Y
MA0583.1_RAV1(var.2)	RAV1	SELEX	Y
MA0584.1_SEP1	SEP1	SELEX	Y
MA0001.2_AGL3	AGL3	SELEX	Y
MA0585.1_AGL1	AGL1	SELEX	Y
MA0587.1_TCP16	TCP16	SELEX	Y
MA0588.1_TGA1	TGA1	SELEX	Y
MA0589.1_ZAP1	ZAP1	SELEX	Y
MA0590.1_LFY	LFY	SELEX	Y
MA0930.1_ABF3	ABF3	PBM	Y
MA0931.1_ABI5	ABI5	PBM	Y
MA0932.1_AHL12	AHL12	PBM	Y
MA0933.1_AHL20	AHL20	PBM	Y
MA0934.1_AHL25	AHL25	PBM	Y
MA0935.1_NAC025	NAC025	PBM	Y
MA0936.1_T11I18.17	T11I18.17	PBM	Y
MA0937.1_NAC055	NAC055	PBM	Y
MA0938.1_NAC058	NAC058	PBM	Y
MA0939.1_NAC080	NAC080	PBM	Y
MA0940.1_AP1	AP1	ChIP-seq	Y
MA0941.1_ABF2	ABF2	PBM	Y
MA0942.1_ARF1	ARF1	PBM	Y
MA0943.1_ARF5	ARF5	PBM	Y
MA0944.1_ARF8	ARF8	PBM	Y
MA0945.1_ARR1	ARR1	PBM	Y
MA0946.1_ARR11	ARR11	PBM	Y
MA0947.1_ARR14	ARR14	PBM	Y
MA0948.1_ARR18	ARR18	PBM	Y
MA0949.1_ARR2	ARR2	PBM	Y
MA0950.1_ATHB-12	ATHB-12	PBM	Y
MA0951.1_ATHB-16	ATHB-16	PBM	Y
MA0952.1_ATHB-51	ATHB-51	PBM	Y
MA0953.1_ATHB-6	ATHB-6	PBM	Y
MA0955.1_POPTR_0002s00440g	POPTR	PBM	Y
MA0956.1_BEE2	BEE2	PBM	Y
MA0957.1_BHLH3	BHLH3	PBM	Y
MA0958.1_BHLH13	BHLH13	PBM	Y
MA0959.1_AIB	AIB	PBM	Y
MA0960.1_BHLH104	BHLH104	PBM	Y
MA0961.1_BHLH112	BHLH112	PBM	Y
MA0962.1_BHLH34	BHLH34	PBM	Y
MA0963.1_BHLH78	BHLH78	PBM	Y
MA0964.1_BIM1	BIM1	PBM	Y
MA0965.1_BIM2	BIM2	PBM	Y
MA0966.1_BIM3	BIM3	PBM	Y
MA0967.1_BZIP60	BZIP60	PBM	Y
MA0968.1_bZIP68	bZIP68	PBM	Y
MA0969.1_CMTA2	CMTA2	PBM	Y
MA0970.1_CMTA3	CMTA3	PBM	Y
MA0971.1_DREB1A	DREB1A	PBM	Y
MA0972.1_CCA1	CCA1	PBM	Y
MA0973.1_CDF2	CDF2	PBM	Y
MA0974.1_CDF3	CDF3	PBM	Y
MA0975.1_CRF2	CRF2	PBM	Y
MA0976.1_CRF4	CRF4	PBM	Y
MA0977.1_DOF2.5	DOF2.5	PBM	Y
MA0978.1_DREB1E	DREB1E	PBM	Y
MA0979.1_ERF008	ERF008	PBM	Y
MA0980.1_RAP2-10	RAP2-10	PBM	Y
MA0981.1_DOF1.8	DOF1.8	PBM	Y
MA0982.1_DOF2.4	DOF2.4	PBM	Y
MA0983.1_DOF5.6	DOF5.6	PBM	Y
MA0984.1_DOF5.7	DOF5.7	PBM	Y
MA0985.1_DRE1C	DRE1C	PBM	Y
MA0986.1_DREB2C	DREB2C	PBM	Y
MA0987.1_PHYPADRAFT_140773	PHYPADRAFT	PBM	Y
MA0988.1_PHYPADRAFT_143875	PHYPADRAFT	PBM	Y
MA0989.1_PHYPADRAFT_153324	PHYPADRAFT	PBM	Y
MA0990.1_EDT1	EDT1	PBM	Y
MA0992.1_ERF4	ERF4	PBM	Y
MA0993.1_ERF7	ERF7	PBM	Y
MA0994.1_ERF8	ERF8	PBM	Y
MA0995.1_ERF039	ERF039	PBM	Y
MA0996.1_ERF043	ERF043	PBM	Y
