Motif	Factor	Evidence	Curated
MA0006.1_Ahr::Arnt	Ahr	SELEX	Y
MA0006.1_Ahr::Arnt	Arnt	SELEX	Y
MA0854.1_Alx1	Alx1	PBM	Y
MA0634.1_ALX3	ALX3	HT-SELEX	Y
MA0853.1_Alx4	Alx4	PBM	Y
MA0007.3_Ar	Ar	HT-SELEX	Y
MA1463.1_ARGFX	ARGFX	HT-SELEX	Y
MA0151.1_Arid3a	Arid3a	SELEX	Y
MA0601.1_Arid3b	Arid3b	PBM	Y
MA0602.1_Arid5a	Arid5a	PBM	Y
MA0004.1_Arnt	Arnt	SELEX	Y
MA0259.1_ARNT::HIF1A	ARNT	COMPILED	Y
MA0259.1_ARNT::HIF1A	HIF1A	COMPILED	Y
MA1464.1_ARNT2	ARNT2	HT-SELEX	Y
MA0603.1_Arntl	Arntl	PBM	Y
MA0874.1_Arx	Arx	PBM	Y
MA1100.2_ASCL1	ASCL1	HT-SELEX	Y
MA1631.1_ASCL1(var.2)	ASCL1	ChIP-seq	Y
MA0816.1_Ascl2	Ascl2	HT-SELEX	Y
MA0604.1_Atf1	Atf1	PBM	Y
MA1632.1_ATF2	ATF2	ChIP-seq	Y
MA0605.2_ATF3	ATF3	HT-SELEX	Y
MA0833.2_ATF4	ATF4	ChIP-seq	Y
MA1466.1_ATF6	ATF6	HT-SELEX	Y
MA0834.1_ATF7	ATF7	HT-SELEX	Y
MA0461.2_Atoh1	Atoh1	HT-SELEX	Y
MA1467.1_ATOH1(var.2)	ATOH1	HT-SELEX	Y
MA1468.1_ATOH7	ATOH7	HT-SELEX	Y
MA1633.1_BACH1	BACH1	ChIP-seq	Y
MA0591.1_Bach1::Mafk	Bach1	ChIP-seq	Y
MA0591.1_Bach1::Mafk	Mafk	ChIP-seq	Y
MA1101.2_BACH2	BACH2	HT-SELEX	Y
MA1470.1_BACH2(var.2)	BACH2	HT-SELEX	Y
MA0877.2_BARHL1	BARHL1	HT-SELEX	Y
MA0635.1_BARHL2	BARHL2	HT-SELEX	Y
MA0875.1_BARX1	BARX1	HT-SELEX	Y
MA1471.1_BARX2	BARX2	HT-SELEX	Y
MA1634.1_BATF	BATF	ChIP-seq	Y
MA0462.2_BATF::JUN	BATF	ChIP-seq	Y
MA0462.2_BATF::JUN	JUN	ChIP-seq	Y
MA0835.2_BATF3	BATF3	ChIP-seq	Y
MA0463.2_BCL6	BCL6	HT-SELEX	Y
MA0731.1_BCL6B	BCL6B	HT-SELEX	Y
MA0607.1_Bhlha15	Bhlha15	PBM	Y
MA1472.1_BHLHA15(var.2)	BHLHA15	HT-SELEX	Y
MA0818.1_BHLHE22	BHLHE22	HT-SELEX	Y
MA1635.1_BHLHE22(var.2)	BHLHE22	ChIP-seq	Y
MA0817.1_BHLHE23	BHLHE23	HT-SELEX	Y
MA0464.2_BHLHE40	BHLHE40	HT-SELEX	Y
MA0636.1_BHLHE41	BHLHE41	HT-SELEX	Y
MA0876.1_BSX	BSX	HT-SELEX	Y
MA0878.2_CDX1	CDX1	HT-SELEX	Y
MA0465.2_CDX2	CDX2	ChIP-seq	Y
MA1473.1_CDX4	CDX4	HT-SELEX	Y
MA0102.4_CEBPA	CEBPA	ChIP-seq	Y
MA0466.2_CEBPB	CEBPB	HT-SELEX	Y
MA0836.2_CEBPD	CEBPD	ChIP-seq	Y
MA0837.1_CEBPE	CEBPE	HT-SELEX	Y
MA0838.1_CEBPG	CEBPG	HT-SELEX	Y
