Motif	Factor	Evidence	Curated
MA0004.1_MA0004.1.Arnt	MA0004.1.Arnt	SELEX	Y
MA0006.1_MA0006.1.Ahr::Arnt	MA0006.1.Ahr	SELEX	Y
MA0006.1_MA0006.1.Ahr::Arnt	Arnt	SELEX	Y
MA0010.1_MA0010.1.br	MA0010.1.br	COMPILED	Y
MA0011.1_MA0011.1.br	MA0011.1.br	COMPILED	Y
MA0012.1_MA0012.1.br	MA0012.1.br	COMPILED	Y
MA0013.1_MA0013.1.br	MA0013.1.br	COMPILED	Y
MA0015.1_MA0015.1.Cf2	MA0015.1.Cf2	SELEX	Y
MA0016.1_MA0016.1.usp	MA0016.1.usp	SELEX	Y
MA0019.1_MA0019.1.Ddit3::Cebpa	MA0019.1.Ddit3	SELEX	Y
MA0019.1_MA0019.1.Ddit3::Cebpa	Cebpa	SELEX	Y
MA0020.1_MA0020.1.Dof2	MA0020.1.Dof2	SELEX	Y
MA0021.1_MA0021.1.Dof3	MA0021.1.Dof3	SELEX	Y
MA0022.1_MA0022.1.dl	MA0022.1.dl	SELEX	Y
MA0023.1_MA0023.1.dl	MA0023.1.dl	SELEX	Y
MA0026.1_MA0026.1.Eip74EF	MA0026.1.Eip74EF	SELEX	Y
MA0029.1_MA0029.1.Mecom	MA0029.1.Mecom	SELEX	Y
MA0030.1_MA0030.1.FOXF2	MA0030.1.FOXF2	SELEX	Y
MA0031.1_MA0031.1.FOXD1	MA0031.1.FOXD1	SELEX	Y
MA0034.1_MA0034.1.Gam1	MA0034.1.Gam1	SELEX	Y
MA0040.1_MA0040.1.Foxq1	MA0040.1.Foxq1	SELEX	Y
MA0049.1_MA0049.1.hb	MA0049.1.hb	COMPILED	Y
MA0051.1_MA0051.1.IRF2	MA0051.1.IRF2	SELEX	Y
MA0053.1_MA0053.1.MNB1A	MA0053.1.MNB1A	SELEX	Y
MA0054.1_MA0054.1.myb.Ph3	MA0054.1.myb.Ph3	SELEX	Y
MA0059.1_MA0059.1.MAX::MYC	MA0059.1.MAX	SELEX	Y
MA0059.1_MA0059.1.MAX::MYC	MYC	SELEX	Y
MA0064.1_MA0064.1.PBF	MA0064.1.PBF	SELEX	Y
MA0066.1_MA0066.1.PPARG	MA0066.1.PPARG	SELEX	Y
MA0069.1_MA0069.1.PAX6	MA0069.1.PAX6	SELEX	Y
MA0070.1_MA0070.1.PBX1	MA0070.1.PBX1	SELEX	Y
MA0071.1_MA0071.1.RORA	MA0071.1.RORA	SELEX	Y
MA0072.1_MA0072.1.RORA	MA0072.1.RORA	SELEX	Y
MA0073.1_MA0073.1.RREB1	MA0073.1.RREB1	SELEX	Y
MA0074.1_MA0074.1.RXRA::VDR	MA0074.1.RXRA	SELEX	Y
MA0074.1_MA0074.1.RXRA::VDR	VDR	SELEX	Y
MA0077.1_MA0077.1.SOX9	MA0077.1.SOX9	SELEX	Y
MA0082.1_MA0082.1.squamosa	MA0082.1.squamosa	SELEX	Y
MA0084.1_MA0084.1.SRY	MA0084.1.SRY	SELEX	Y
MA0085.1_MA0085.1.Su(H)	MA0085.1.Su	COMPILED	Y
MA0091.1_MA0091.1.TAL1::TCF3	MA0091.1.TAL1	SELEX	Y
MA0091.1_MA0091.1.TAL1::TCF3	TCF3	SELEX	Y
MA0092.1_MA0092.1.Hand1::Tcf3	MA0092.1.Hand1	SELEX	Y
MA0092.1_MA0092.1.Hand1::Tcf3	Tcf3	SELEX	Y
MA0096.1_MA0096.1.bZIP910	MA0096.1.bZIP910	SELEX	Y
MA0097.1_MA0097.1.bZIP911	MA0097.1.bZIP911	SELEX	Y
MA0101.1_MA0101.1.REL	MA0101.1.REL	SELEX	Y
MA0107.1_MA0107.1.RELA	MA0107.1.RELA	SELEX	Y
MA0108.2_MA0108.2.TBP	MA0108.2.TBP		Y
MA0111.1_MA0111.1.Spz1	MA0111.1.Spz1	SELEX	Y
MA0115.1_MA0115.1.NR1H2::RXRA	MA0115.1.NR1H2	SELEX	Y
MA0115.1_MA0115.1.NR1H2::RXRA	RXRA	SELEX	Y
MA0116.1_MA0116.1.Znf423	MA0116.1.Znf423	SELEX	Y
MA0118.1_MA0118.1.Macho-1	MA0118.1.Macho-1	SELEX	Y
MA0119.1_MA0119.1.NFIC::TLX1	MA0119.1.NFIC	SELEX	Y
MA0119.1_MA0119.1.NFIC::TLX1	TLX1	SELEX	Y
MA0121.1_MA0121.1.ARR10	MA0121.1.ARR10	SELEX	Y
MA0123.1_MA0123.1.abi4	MA0123.1.abi4	SELEX	Y
MA0125.1_MA0125.1.Nobox	MA0125.1.Nobox	SELEX	Y
MA0126.1_MA0126.1.ovo	MA0126.1.ovo	SELEX	Y
MA0127.1_MA0127.1.PEND	MA0127.1.PEND	SELEX	Y
MA0128.1_MA0128.1.EmBP-1	MA0128.1.EmBP-1	SELEX	Y
MA0129.1_MA0129.1.TGA1A	MA0129.1.TGA1A	SELEX	Y
MA0130.1_MA0130.1.ZNF354C	MA0130.1.ZNF354C	SELEX	Y
MA0135.1_MA0135.1.Lhx3	MA0135.1.Lhx3	SELEX	Y
MA0139.1_MA0139.1.CTCF	MA0139.1.CTCF	ChIP-seq	Y
MA0142.1_MA0142.1.Pou5f1::Sox2	MA0142.1.Pou5f1	ChIP-seq	Y
MA0142.1_MA0142.1.Pou5f1::Sox2	Sox2	ChIP-seq	Y
MA0149.1_MA0149.1.EWSR1-FLI1	MA0149.1.EWSR1-FLI1	ChIP-seq	Y
MA0138.2_MA0138.2.REST	MA0138.2.REST	ChIP-seq	Y
MA0002.2_MA0002.2.Runx1	MA0002.2.Runx1	ChIP-seq	Y
MA0065.2_MA0065.2.Pparg::Rxra	MA0065.2.Pparg	ChIP-seq	Y
MA0065.2_MA0065.2.Pparg::Rxra	Rxra	ChIP-seq	Y
MA0151.1_MA0151.1.Arid3a	MA0151.1.Arid3a	SELEX	Y
MA0155.1_MA0155.1.INSM1	MA0155.1.INSM1	COMPILED	Y
MA0159.1_MA0159.1.RARA::RXRA	MA0159.1.RARA	COMPILED	Y
MA0159.1_MA0159.1.RARA::RXRA	RXRA	COMPILED	Y
MA0163.1_MA0163.1.PLAG1	MA0163.1.PLAG1	bacterial 1-hybrid	Y
MA0164.1_MA0164.1.Nr2e3	MA0164.1.Nr2e3	SELEX	Y
MA0165.1_MA0165.1.Abd-B	MA0165.1.Abd-B	bacterial 1-hybrid	Y
MA0166.1_MA0166.1.Antp	MA0166.1.Antp	bacterial 1-hybrid	Y
MA0167.1_MA0167.1.Awh	MA0167.1.Awh	bacterial 1-hybrid	Y
MA0168.1_MA0168.1.B-H1	MA0168.1.B-H1	bacterial 1-hybrid	Y
MA0169.1_MA0169.1.B-H2	MA0169.1.B-H2	bacterial 1-hybrid	Y
MA0170.1_MA0170.1.C15	MA0170.1.C15	bacterial 1-hybrid	Y
MA0171.1_MA0171.1.CG11085	MA0171.1.CG11085	bacterial 1-hybrid	Y
MA0172.1_MA0172.1.CG11294	MA0172.1.CG11294	bacterial 1-hybrid	Y
MA0173.1_MA0173.1.CG11617	MA0173.1.CG11617	bacterial 1-hybrid	Y
MA0174.1_MA0174.1.Dbx	MA0174.1.Dbx	bacterial 1-hybrid	Y
MA0175.1_MA0175.1.lms	MA0175.1.lms	bacterial 1-hybrid	Y
MA0176.1_MA0176.1.CG15696-RA	MA0176.1.CG15696-RA	bacterial 1-hybrid	Y
MA0177.1_MA0177.1.CG18599	MA0177.1.CG18599	bacterial 1-hybrid	Y
MA0178.1_MA0178.1.CG32105	MA0178.1.CG32105	bacterial 1-hybrid	Y
MA0179.1_MA0179.1.CG32532	MA0179.1.CG32532	bacterial 1-hybrid	Y
MA0180.1_MA0180.1.Vsx2	MA0180.1.Vsx2	bacterial 1-hybrid	Y
MA0181.1_MA0181.1.Vsx1	MA0181.1.Vsx1	bacterial 1-hybrid	Y
MA0182.1_MA0182.1.CG4328-RA	MA0182.1.CG4328-RA	bacterial 1-hybrid	Y
MA0183.1_MA0183.1.HHEX	MA0183.1.HHEX	bacterial 1-hybrid	Y
MA0184.1_MA0184.1.CG9876	MA0184.1.CG9876	bacterial 1-hybrid	Y
MA0185.1_MA0185.1.Deaf1	MA0185.1.Deaf1	DNaseI footprinting	Y
MA0186.1_MA0186.1.Dfd	MA0186.1.Dfd	bacterial 1-hybrid	Y
MA0187.1_MA0187.1.Dll	MA0187.1.Dll	bacterial 1-hybrid	Y
MA0188.1_MA0188.1.Dr	MA0188.1.Dr	bacterial 1-hybrid	Y
MA0189.1_MA0189.1.E5	MA0189.1.E5	bacterial 1-hybrid	Y
MA0190.1_MA0190.1.Gsc	MA0190.1.Gsc	bacterial 1-hybrid	Y
MA0191.1_MA0191.1.HGTX	MA0191.1.HGTX	bacterial 1-hybrid	Y
MA0192.1_MA0192.1.Hmx	MA0192.1.Hmx	bacterial 1-hybrid	Y
MA0193.1_MA0193.1.schlank	MA0193.1.schlank	bacterial 1-hybrid	Y
MA0194.1_MA0194.1.Lim1	MA0194.1.Lim1	bacterial 1-hybrid	Y
MA0195.1_MA0195.1.Lim3	MA0195.1.Lim3	bacterial 1-hybrid	Y
MA0196.1_MA0196.1.NK7.1	MA0196.1.NK7.1	bacterial 1-hybrid	Y
MA0198.1_MA0198.1.OdsH	MA0198.1.OdsH	bacterial 1-hybrid	Y
MA0199.1_MA0199.1.Optix	MA0199.1.Optix	bacterial 1-hybrid	Y
MA0200.1_MA0200.1.Pph13	MA0200.1.Pph13	bacterial 1-hybrid	Y
MA0201.1_MA0201.1.Ptx1	MA0201.1.Ptx1	bacterial 1-hybrid	Y
MA0202.1_MA0202.1.Rx	MA0202.1.Rx	bacterial 1-hybrid	Y
MA0203.1_MA0203.1.Scr	MA0203.1.Scr	bacterial 1-hybrid	Y
MA0204.1_MA0204.1.Six4	MA0204.1.Six4	bacterial 1-hybrid	Y
