Motif	Factor	Evidence	Curated
MA0266.1_MA0266.1.ABF2	MA0266.1.ABF2	PBM, CSA and/or DIP-chip	Y
MA0267.1_MA0267.1.ACE2	MA0267.1.ACE2	PBM, CSA and/or DIP-chip	Y
MA0268.1_MA0268.1.ADR1	MA0268.1.ADR1	PBM, CSA and/or DIP-chip	Y
MA0269.1_MA0269.1.AFT1	MA0269.1.AFT1	PBM	Y
MA0270.1_MA0270.1.AFT2	MA0270.1.AFT2	PBM, CSA and/or DIP-chip	Y
MA0271.1_MA0271.1.ARG80	MA0271.1.ARG80	ChIP-chip	Y
MA0272.1_MA0272.1.ARG81	MA0272.1.ARG81	ChIP-chip	Y
MA0273.1_MA0273.1.ARO80	MA0273.1.ARO80	PBM	Y
MA0274.1_MA0274.1.ARR1	MA0274.1.ARR1	ChIP-chip	Y
MA0275.1_MA0275.1.ASG1	MA0275.1.ASG1	PBM, CSA and/or DIP-chip	Y
MA0276.1_MA0276.1.ASH1	MA0276.1.ASH1	ChIP-chip	Y
MA0277.1_MA0277.1.AZF1	MA0277.1.AZF1	PBM, CSA and/or DIP-chip	Y
MA0278.1_MA0278.1.BAS1	MA0278.1.BAS1	PBM	Y
MA0280.1_MA0280.1.CAT8	MA0280.1.CAT8	PBM, CSA and/or DIP-chip	Y
MA0282.1_MA0282.1.CEP3	MA0282.1.CEP3	PBM, CSA and/or DIP-chip	Y
MA0283.1_MA0283.1.CHA4	MA0283.1.CHA4	PBM, CSA and/or DIP-chip	Y
MA0285.1_MA0285.1.CRZ1	MA0285.1.CRZ1	PBM, CSA and/or DIP-chip	Y
MA0286.1_MA0286.1.CST6	MA0286.1.CST6	PBM, CSA and/or DIP-chip	Y
MA0287.1_MA0287.1.CUP2	MA0287.1.CUP2	COMPILED	Y
MA0288.1_MA0288.1.CUP9	MA0288.1.CUP9	PBM, CSA and/or DIP-chip	Y
MA0289.1_MA0289.1.DAL80	MA0289.1.DAL80	PBM, CSA and/or DIP-chip	Y
