Motif	Factor	Evidence	Curated
MA0010.1_MA0010.1.br	MA0010.1.br	COMPILED	Y
MA0011.1_MA0011.1.br	MA0011.1.br	COMPILED	Y
MA0012.1_MA0012.1.br	MA0012.1.br	COMPILED	Y
MA0013.1_MA0013.1.br	MA0013.1.br	COMPILED	Y
MA0015.1_MA0015.1.Cf2	MA0015.1.Cf2	SELEX	Y
MA0016.1_MA0016.1.usp	MA0016.1.usp	SELEX	Y
MA0022.1_MA0022.1.dl	MA0022.1.dl	SELEX	Y
MA0023.1_MA0023.1.dl	MA0023.1.dl	SELEX	Y
MA0026.1_MA0026.1.Eip74EF	MA0026.1.Eip74EF	SELEX	Y
MA0049.1_MA0049.1.hb	MA0049.1.hb	COMPILED	Y
MA0085.1_MA0085.1.Su(H)	MA0085.1.Su	COMPILED	Y
MA0126.1_MA0126.1.ovo	MA0126.1.ovo	SELEX	Y
MA0165.1_MA0165.1.Abd-B	MA0165.1.Abd-B	bacterial 1-hybrid	Y
MA0166.1_MA0166.1.Antp	MA0166.1.Antp	bacterial 1-hybrid	Y
MA0167.1_MA0167.1.Awh	MA0167.1.Awh	bacterial 1-hybrid	Y
MA0168.1_MA0168.1.B-H1	MA0168.1.B-H1	bacterial 1-hybrid	Y
MA0169.1_MA0169.1.B-H2	MA0169.1.B-H2	bacterial 1-hybrid	Y
MA0170.1_MA0170.1.C15	MA0170.1.C15	bacterial 1-hybrid	Y
MA0171.1_MA0171.1.CG11085	MA0171.1.CG11085	bacterial 1-hybrid	Y
MA0172.1_MA0172.1.CG11294	MA0172.1.CG11294	bacterial 1-hybrid	Y
MA0173.1_MA0173.1.CG11617	MA0173.1.CG11617	bacterial 1-hybrid	Y
MA0174.1_MA0174.1.Dbx	MA0174.1.Dbx	bacterial 1-hybrid	Y
MA0175.1_MA0175.1.lms	MA0175.1.lms	bacterial 1-hybrid	Y
MA0176.1_MA0176.1.CG15696-RA	MA0176.1.CG15696-RA	bacterial 1-hybrid	Y
MA0177.1_MA0177.1.CG18599	MA0177.1.CG18599	bacterial 1-hybrid	Y
MA0178.1_MA0178.1.CG32105	MA0178.1.CG32105	bacterial 1-hybrid	Y
