Motif	Factor	Evidence	Curated
CREB3L1_CREB3	CREB3L1	Unknown	N
CREB3L1_CREB3	CREB3	Unknown	N
ATF4	ATF4	Unknown	N
IRX5	IRX5	Unknown	N
ZNF711_TFAP2A_TFAP2D	ZNF711	Unknown	N
ZNF711_TFAP2A_TFAP2D	TFAP2A	Unknown	N
ZNF711_TFAP2A_TFAP2D	TFAP2D	Unknown	N
EPAS1_BCL3	EPAS1	Unknown	N
EPAS1_BCL3	BCL3	Unknown	N
ZNF350	ZNF350	Unknown	N
PAX5	PAX5	Unknown	N
RXRG	RXRG	Unknown	N
PBX1	PBX1	Unknown	N
ZNF333	ZNF333	Unknown	N
NR2F2	NR2F2	Unknown	N
HMBOX1	HMBOX1	Unknown	N
EMX1	EMX1	Unknown	N
HIC1	HIC1	Unknown	N
RFX7_RFX4_RFX1	RFX7	Unknown	N
RFX7_RFX4_RFX1	RFX4	Unknown	N
RFX7_RFX4_RFX1	RFX1	Unknown	N
SREBF1_TFE3	SREBF1	Unknown	N
SREBF1_TFE3	TFE3	Unknown	N
HNF1A_HNF1B	HNF1A	Unknown	N
HNF1A_HNF1B	HNF1B	Unknown	N
EOMES	EOMES	Unknown	N
CUX2	CUX2	Unknown	N
BACH2	BACH2	Unknown	N
HOXD1	HOXD1	Unknown	N
ARID3A	ARID3A	Unknown	N
RFX5	RFX5	Unknown	N
ISL2	ISL2	Unknown	N
ALX1_ARX	ALX1	Unknown	N
ALX1_ARX	ARX	Unknown	N
ESR1	ESR1	Unknown	N
NFAT5	NFAT5	Unknown	N
SOX7	SOX7	Unknown	N
SOX7	SOX7	Unknown	N
NOTO_VSX2_DLX2_DLX6_NKX6-1	NOTO	Unknown	N
NOTO_VSX2_DLX2_DLX6_NKX6-1	VSX2	Unknown	N
NOTO_VSX2_DLX2_DLX6_NKX6-1	DLX2	Unknown	N
NOTO_VSX2_DLX2_DLX6_NKX6-1	DLX6	Unknown	N
NOTO_VSX2_DLX2_DLX6_NKX6-1	NKX6-1	Unknown	N
FOSL1	FOSL1	Unknown	N
JDP2	JDP2	Unknown	N
GATA3	GATA3	Unknown	N
FOXN1	FOXN1	Unknown	N
ZBTB18	ZBTB18	Unknown	N
POU6F1	POU6F1	Unknown	N
HMGA2	HMGA2	Unknown	N
OTX1	OTX1	Unknown	N
POU4F2	POU4F2	Unknown	N
PRRX1_ALX4_PHOX2A	PRRX1	Unknown	N
PRRX1_ALX4_PHOX2A	ALX4	Unknown	N
PRRX1_ALX4_PHOX2A	PHOX2A	Unknown	N
TBX19	TBX19	Unknown	N
ZNF143	ZNF143	Unknown	N
TFAP2C	TFAP2C	Unknown	N
TAF1	TAF1	Unknown	N
STAT4	STAT4	Unknown	N
PLAGL1	PLAGL1	Unknown	N
DLX4_HOXD8	DLX4	Unknown	N
DLX4_HOXD8	HOXD8	Unknown	N
TBX1	TBX1	Unknown	N
GLIS3	GLIS3	Unknown	N
PBX2	PBX2	Unknown	N
MLX_USF2_USF1_PAX2	MLX	Unknown	N
MLX_USF2_USF1_PAX2	USF2	Unknown	N
MLX_USF2_USF1_PAX2	USF1	Unknown	N
MLX_USF2_USF1_PAX2	PAX2	Unknown	N
SMAD2	SMAD2	Unknown	N
CEBPA	CEBPA	Unknown	N
LEF1	LEF1	Unknown	N
PAX3	PAX3	Unknown	N
TBX21_TBR1	TBX21	Unknown	N
TBX21_TBR1	TBR1	Unknown	N
SRY	SRY	Unknown	N
NR4A1	NR4A1	Unknown	N
BPTF	BPTF	Unknown	N
SPDEF	SPDEF	Unknown	N
VENTX	VENTX	Unknown	N
ERG	ERG	Unknown	N
THRA_RXRB	THRA	Unknown	N
THRA_RXRB	RXRB	Unknown	N
KLF6	KLF6	Unknown	N
HOXA6	HOXA6	Unknown	N
NFKB2	NFKB2	Unknown	N
E2F6	E2F6	Unknown	N
GATA6	GATA6	Unknown	N
CEBPE_CEBPD	CEBPE	Unknown	N
CEBPE_CEBPD	CEBPD	Unknown	N
PLAG1	PLAG1	Unknown	N
PITX3	PITX3	Unknown	N
SCRT1_SCRT2	SCRT1	Unknown	N
SCRT1_SCRT2	SCRT2	Unknown	N
HOXA9	HOXA9	Unknown	N
ZNF232	ZNF232	Unknown	N
SHOX2_HOXC5	SHOX2	Unknown	N
SHOX2_HOXC5	HOXC5	Unknown	N
SOX17	SOX17	Unknown	N
MXI1_MYC_MYCN	MXI1	Unknown	N
MXI1_MYC_MYCN	MYC	Unknown	N
MXI1_MYC_MYCN	MYCN	Unknown	N
KLF16_SP2	KLF16	Unknown	N
KLF16_SP2	SP2	Unknown	N
TBX20	TBX20	Unknown	N
STAT5A	STAT5A	Unknown	N
OLIG2_NEUROD1_ATOH1	OLIG2	Unknown	N
OLIG2_NEUROD1_ATOH1	NEUROD1	Unknown	N
OLIG2_NEUROD1_ATOH1	ATOH1	Unknown	N
ELK4_ETV5_ELK1_ELK3_ELF4	ELK4	Unknown	N
ELK4_ETV5_ELK1_ELK3_ELF4	ETV5	Unknown	N
ELK4_ETV5_ELK1_ELK3_ELF4	ELK1	Unknown	N
ELK4_ETV5_ELK1_ELK3_ELF4	ELK3	Unknown	N
ELK4_ETV5_ELK1_ELK3_ELF4	ELF4	Unknown	N
PAX8	PAX8	Unknown	N
DRGX_PROP1	DRGX	Unknown	N
DRGX_PROP1	PROP1	Unknown	N
TBX3	TBX3	Unknown	N
PPARA	PPARA	Unknown	N
CXXC1	CXXC1	Unknown	N
NKX1-2_RAX	NKX1-2	Unknown	N
NKX1-2_RAX	RAX	Unknown	N
ATF7	ATF7	Unknown	N
LMX1B_MNX1_RAX2	LMX1B	Unknown	N
LMX1B_MNX1_RAX2	MNX1	Unknown	N
LMX1B_MNX1_RAX2	RAX2	Unknown	N
EVX2	EVX2	Unknown	N
OTX2_CRX	OTX2	Unknown	N
OTX2_CRX	CRX	Unknown	N
NKX1-1	NKX1-1	Unknown	N
NKX3-2	NKX3-2	Unknown	N
KLF14_SP8	KLF14	Unknown	N
KLF14_SP8	SP8	Unknown	N
STAT5B	STAT5B	Unknown	N
BBX	BBX	Unknown	N
SOX30	SOX30	Unknown	N
ZBTB14	ZBTB14	Unknown	N
HOXA1	HOXA1	Unknown	N
STAT1_STAT3_BCL6	STAT1	Unknown	N
STAT1_STAT3_BCL6	STAT3	Unknown	N
STAT1_STAT3_BCL6	BCL6	Unknown	N
DDIT3	DDIT3	Unknown	N
NKX2-3	NKX2-3	Unknown	N
CDX2	CDX2	Unknown	N
SOX8	SOX8	Unknown	N
SMAD3	SMAD3	Unknown	N
HOMEZ	HOMEZ	Unknown	N
TEAD3_TEAD1	TEAD3	Unknown	N
TEAD3_TEAD1	TEAD1	Unknown	N
IRX6_IRX4	IRX6	Unknown	N
IRX6_IRX4	IRX4	Unknown	N
NHLH1	NHLH1	Unknown	N
PTF1A	PTF1A	Unknown	N
PRDM14	PRDM14	Unknown	N
EZH2	EZH2	Unknown	N
E2F8	E2F8	Unknown	N
PROX1	PROX1	Unknown	N
IRF2_STAT2_IRF8_IRF1	IRF2	Unknown	N
IRF2_STAT2_IRF8_IRF1	STAT2	Unknown	N
IRF2_STAT2_IRF8_IRF1	IRF8	Unknown	N
IRF2_STAT2_IRF8_IRF1	IRF1	Unknown	N
TWIST1_SNAI1	TWIST1	Unknown	N
TWIST1_SNAI1	SNAI1	Unknown	N
PRDM4	PRDM4	Unknown	N
CREB5_CREM_JUNB	CREB5	Unknown	N
CREB5_CREM_JUNB	CREM	Unknown	N
CREB5_CREM_JUNB	JUNB	Unknown	N
NR4A2	NR4A2	Unknown	N
ZBTB49	ZBTB49	Unknown	N
HOXA2_HOXB1	HOXA2	Unknown	N
HOXA2_HOXB1	HOXB1	Unknown	N
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXD1	Unknown	N
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXO1	Unknown	N
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXO6	Unknown	N
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXG1	Unknown	N
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXP1	Unknown	N
ETV7	ETV7	Unknown	N
NR5A2	NR5A2	Unknown	N
NR2F1	NR2F1	Unknown	N
NKX2-2	NKX2-2	Unknown	N
SMAD4	SMAD4	Unknown	N
OLIG1	OLIG1	Unknown	N
EGR3_EGR2	EGR3	Unknown	N
EGR3_EGR2	EGR2	Unknown	N
HOXD11_HOXA11	HOXD11	Unknown	N
HOXD11_HOXA11	HOXA11	Unknown	N
CEBPG	CEBPG	Unknown	N
RARG	RARG	Unknown	N
HOXA4	HOXA4	Unknown	N
SIX6	SIX6	Unknown	N
ZNF423	ZNF423	Unknown	N
PGR	PGR	Unknown	N
NFATC4	NFATC4	Unknown	N
HOXC6_HOXA7	HOXC6	Unknown	N
HOXC6_HOXA7	HOXA7	Unknown	N
TFCP2	TFCP2	Unknown	N
INSM1	INSM1	Unknown	N
SPIC	SPIC	Unknown	N
FLI1	FLI1	Unknown	N
HOXC11	HOXC11	Unknown	N
GFI1	GFI1	Unknown	N
MYBL1	MYBL1	Unknown	N
NKX6-2	NKX6-2	Unknown	N
ZNF8	ZNF8	Unknown	N
ZNF8	ZNF8	Unknown	N
HSF4	HSF4	Unknown	N
ATF2_ATF1_ATF3	ATF2	Unknown	N
ATF2_ATF1_ATF3	ATF1	Unknown	N
ATF2_ATF1_ATF3	ATF3	Unknown	N
HOXC12_HOXD12	HOXC12	Unknown	N
HOXC12_HOXD12	HOXD12	Unknown	N
TCF12_ASCL2	TCF12	Unknown	N
TCF12_ASCL2	ASCL2	Unknown	N
ZBED1	ZBED1	Unknown	N
ZBED1	ZBED1	Unknown	N
TCF7L2	TCF7L2	Unknown	N
MSX1	MSX1	Unknown	N
RORC	RORC	Unknown	N
FOXA1	FOXA1	Unknown	N
BARHL1	BARHL1	Unknown	N
HSF1	HSF1	Unknown	N
SOX9	SOX9	Unknown	N
GMEB1	GMEB1	Unknown	N
FOXA3_FOXC2	FOXA3	Unknown	N
FOXA3_FOXC2	FOXC2	Unknown	N
FOXJ2	FOXJ2	Unknown	N
SPI1	SPI1	Unknown	N
MECP2	MECP2	Unknown	N
HOXD10	HOXD10	Unknown	N
MAF_NRL	MAF	Unknown	N
MAF_NRL	NRL	Unknown	N
TLX2	TLX2	Unknown	N
ZNF691	ZNF691	Unknown	N
EGR1_EGR4	EGR1	Unknown	N
EGR1_EGR4	EGR4	Unknown	N
FOXD3_FOXI1_FOXF1	FOXD3	Unknown	N
FOXD3_FOXI1_FOXF1	FOXI1	Unknown	N
FOXD3_FOXI1_FOXF1	FOXF1	Unknown	N
REL	REL	Unknown	N
RCOR1_MTA3	RCOR1	Unknown	N
RCOR1_MTA3	MTA3	Unknown	N
SIX1_SIX3_SIX2	SIX1	Unknown	N
SIX1_SIX3_SIX2	SIX3	Unknown	N
SIX1_SIX3_SIX2	SIX2	Unknown	N
YBX1_FOS_NFYC_NFYA_NFYB_CEBPZ	YBX1	Unknown	N
YBX1_FOS_NFYC_NFYA_NFYB_CEBPZ	FOS	Unknown	N
YBX1_FOS_NFYC_NFYA_NFYB_CEBPZ	NFYC	Unknown	N
YBX1_FOS_NFYC_NFYA_NFYB_CEBPZ	NFYA	Unknown	N
