Motif	Factor	Evidence	Curated
UA3.1_Meme_1_w15	ZBTB7A	ChIP-seq	N
UA3.1_Meme_2_w15	ZBTB7A	ChIP-seq	N
UA3.1_Meme_3_w15	ZBTB7A	ChIP-seq	N
UA3.1_Meme_4_w6	ZBTB7A	ChIP-seq	N
UA3.1_Meme_5_w21	ZBTB7A	ChIP-seq	N
SRF.1_Meme_1_w14	SRF	ChIP-seq	N
SRF.1_Meme_2_w30	SRF	ChIP-seq	N
SRF.1_Meme_3_w21	SRF	ChIP-seq	N
SRF.1_Meme_4_w29	SRF	ChIP-seq	N
SRF.1_Meme_5_w19	SRF	ChIP-seq	N
CTCF.1_Meme_1_w15	CTCF	ChIP-seq	N
CTCF.1_Meme_1_w15	CTCFL	ChIP-seq	N
CTCF.1_Meme_1_w15	RAD21	ChIP-seq	N
CTCF.1_Meme_1_w15	SMC3	ChIP-seq	N
CTCF.1_Meme_2_w11	CTCF	ChIP-seq	N
CTCF.1_Meme_2_w11	CTCFL	ChIP-seq	N
CTCF.1_Meme_2_w11	RAD21	ChIP-seq	N
CTCF.1_Meme_2_w11	SMC3	ChIP-seq	N
CTCF.1_Meme_3_w8	CTCF	ChIP-seq	N
CTCF.1_Meme_3_w8	CTCFL	ChIP-seq	N
CTCF.1_Meme_3_w8	RAD21	ChIP-seq	N
CTCF.1_Meme_3_w8	SMC3	ChIP-seq	N
CTCF.1_Meme_4_w27	CTCF	ChIP-seq	N
CTCF.1_Meme_4_w27	CTCFL	ChIP-seq	N
CTCF.1_Meme_4_w27	RAD21	ChIP-seq	N
CTCF.1_Meme_4_w27	SMC3	ChIP-seq	N
CTCF.1_Meme_5_w21	CTCF	ChIP-seq	N
CTCF.1_Meme_5_w21	CTCFL	ChIP-seq	N
CTCF.1_Meme_5_w21	RAD21	ChIP-seq	N
CTCF.1_Meme_5_w21	SMC3	ChIP-seq	N
ESR1.1_Meme_1_w20	ESR1	ChIP-seq	N
ESR1.1_Meme_2_w29	ESR1	ChIP-seq	N
ESR1.1_Meme_3_w21	ESR1	ChIP-seq	N
ESR1.1_Meme_4_w29	ESR1	ChIP-seq	N
ESR1.1_Meme_5_w30	ESR1	ChIP-seq	N
ELK4.1_Meme_1_w11	ELK4	ChIP-seq	N
ELK4.1_Meme_2_w11	ELK4	ChIP-seq	N
ELK4.1_Meme_3_w21	ELK4	ChIP-seq	N
ELK4.1_Meme_4_w11	ELK4	ChIP-seq	N
ELK4.1_Meme_5_w11	ELK4	ChIP-seq	N
GATA3.2_Meme_1_w15	GATA3	ChIP-seq	N
GATA3.2_Meme_2_w15	GATA3	ChIP-seq	N
GATA3.2_Meme_3_w11	GATA3	ChIP-seq	N
GATA3.2_Meme_4_w11	GATA3	ChIP-seq	N
GATA3.2_Meme_5_w27	GATA3	ChIP-seq	N
REST.1_Meme_1_w21	REST	ChIP-seq	N
REST.1_Meme_2_w11	REST	ChIP-seq	N
REST.1_Meme_3_w8	REST	ChIP-seq	N
REST.1_Meme_4_w15	REST	ChIP-seq	N
REST.1_Meme_5_w21	REST	ChIP-seq	N
CREB-ext.4_Meme_1_w11	ATF3	ChIP-seq	N
CREB-ext.4_Meme_2_w19	ATF3	ChIP-seq	N
CREB-ext.4_Meme_3_w8	ATF3	ChIP-seq	N
CREB-ext.4_Meme_4_w18	ATF3	ChIP-seq	N
CREB-ext.4_Meme_5_w11	ATF3	ChIP-seq	N
B-Box.1_Meme_1_w16	GTF3C2	ChIP-seq	N
B-Box.1_Meme_1_w16	POLR3A	ChIP-seq	N
B-Box.1_Meme_1_w16	POLR3G	ChIP-seq	N
B-Box.1_Meme_2_w30	GTF3C2	ChIP-seq	N
B-Box.1_Meme_2_w30	POLR3A	ChIP-seq	N
B-Box.1_Meme_2_w30	POLR3G	ChIP-seq	N
B-Box.1_Meme_3_w30	GTF3C2	ChIP-seq	N
B-Box.1_Meme_3_w30	POLR3A	ChIP-seq	N
B-Box.1_Meme_3_w30	POLR3G	ChIP-seq	N
B-Box.1_Meme_4_w21	GTF3C2	ChIP-seq	N
B-Box.1_Meme_4_w21	POLR3A	ChIP-seq	N
B-Box.1_Meme_4_w21	POLR3G	ChIP-seq	N
B-Box.1_Meme_5_w30	GTF3C2	ChIP-seq	N
B-Box.1_Meme_5_w30	POLR3A	ChIP-seq	N
B-Box.1_Meme_5_w30	POLR3G	ChIP-seq	N
ESRRA.1_Meme_1_w11	ESRRA	ChIP-seq	N
ESRRA.1_Meme_1_w11	PPARGC1A	ChIP-seq	N
ESRRA.1_Meme_2_w29	ESRRA	ChIP-seq	N
ESRRA.1_Meme_2_w29	PPARGC1A	ChIP-seq	N
ESRRA.1_Meme_3_w11	ESRRA	ChIP-seq	N
ESRRA.1_Meme_3_w11	PPARGC1A	ChIP-seq	N
ESRRA.1_Meme_4_w29	ESRRA	ChIP-seq	N
ESRRA.1_Meme_4_w29	PPARGC1A	ChIP-seq	N
ESRRA.1_Meme_5_w13	ESRRA	ChIP-seq	N
ESRRA.1_Meme_5_w13	PPARGC1A	ChIP-seq	N
UA2.1_Meme_1_w13	PBX3	ChIP-seq	N
UA2.1_Meme_2_w15	PBX3	ChIP-seq	N
UA2.1_Meme_3_w15	PBX3	ChIP-seq	N
UA2.1_Meme_4_w21	PBX3	ChIP-seq	N
UA2.1_Meme_5_w11	PBX3	ChIP-seq	N
SOX2-OCT4.1_Meme_1_w15	NANOG	ChIP-seq	N
SOX2-OCT4.1_Meme_1_w15	POU5F1	ChIP-seq	N
SOX2-OCT4.1_Meme_2_w11	NANOG	ChIP-seq	N
SOX2-OCT4.1_Meme_2_w11	POU5F1	ChIP-seq	N
SOX2-OCT4.1_Meme_3_w15	NANOG	ChIP-seq	N
SOX2-OCT4.1_Meme_3_w15	POU5F1	ChIP-seq	N
SOX2-OCT4.1_Meme_4_w29	NANOG	ChIP-seq	N
SOX2-OCT4.1_Meme_4_w29	POU5F1	ChIP-seq	N
SOX2-OCT4.1_Meme_5_w30	NANOG	ChIP-seq	N
SOX2-OCT4.1_Meme_5_w30	POU5F1	ChIP-seq	N
EGR1.1_Meme_1_w22	EGR1	ChIP-seq	N
EGR1.1_Meme_2_w15	EGR1	ChIP-seq	N
EGR1.1_Meme_3_w20	EGR1	ChIP-seq	N
EGR1.1_Meme_4_w15	EGR1	ChIP-seq	N
EGR1.1_Meme_5_w15	EGR1	ChIP-seq	N
TBP.1_Meme_1_w20	POLR2A	ChIP-seq	N
TBP.1_Meme_1_w20	RDBP	ChIP-seq	N
TBP.1_Meme_1_w20	TAF1	ChIP-seq	N
TBP.1_Meme_1_w20	TBP	ChIP-seq	N
TBP.1_Meme_2_w21	POLR2A	ChIP-seq	N
TBP.1_Meme_2_w21	RDBP	ChIP-seq	N
TBP.1_Meme_2_w21	TAF1	ChIP-seq	N
TBP.1_Meme_2_w21	TBP	ChIP-seq	N
TBP.1_Meme_3_w15	POLR2A	ChIP-seq	N
TBP.1_Meme_3_w15	RDBP	ChIP-seq	N
TBP.1_Meme_3_w15	TAF1	ChIP-seq	N
TBP.1_Meme_3_w15	TBP	ChIP-seq	N
