Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	354	100	0.00e+00	inf	0.974	0.772	70.80	0.2800
GimmeMotifs_2	59	108	2.67e-36	35.573	0.710	0.182	10.93	0.0160
GimmeMotifs_3	49	100	1.40e-28	27.853	0.650	0.134	9.80	0.0180
GimmeMotifs_4	48	105	5.76e-27	26.239	0.720	0.174	9.14	0.0000
GimmeMotifs_5	37	101	2.00e-18	17.698	0.687	0.116	7.33	0.0020
GimmeMotifs_6	22	100	5.68e-08	7.246	0.621	0.096	4.40	0.0040
GimmeMotifs_7	12	117	1.99e-02	1.701	0.695	0.091	2.05	0.0000
GimmeMotifs_8	56	101	9.85e-35	34.007	0.691	0.164	11.09	0.0000
GimmeMotifs_9	10	128	1.22e-01	0.913	0.636	0.076	1.56	0.0000
GimmeMotifs_10	21	113	1.30e-06	5.887	0.622	0.077	3.72	0.0000
GimmeMotifs_11	22	100	5.68e-08	7.246	0.604	0.082	4.40	0.0000
GimmeMotifs_12	7	116	3.70e-01	0.432	0.559	0.058	1.21	0.0000
GimmeMotifs_13	12	100	6.92e-03	2.160	0.556	0.060	2.40	0.0000
GimmeMotifs_14	18	141	5.53e-04	3.257	0.562	0.059	2.55	0.0000
