# GimmeMotifs version 0.13.1+200.g740911a.dirty
# Inputfile: Gm12878.CTCF.top500.narrowPeak
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_1	GM.5.0.C2H2	2.142730437526552e-14	71.25	0.7125	3.5108030911138307e-16	15.45459352793733	277.5	0.9322355921469284	9.469699231815483	60	1.0547542032291945e-303	0.8608840058288021	0.6625	0.972698125	0.08520374999999984	2.877153857007582	3
GimmeMotifs_2	GM.5.0.THAP	0.0003531042046509558	11.75	0.1175	6.068613570268991e-07	6.216910516100398	85.0	0.6849708217736535	3.094744412009086	1	3.1365119840156472e-27	0.2813593556109126	0.0275	0.703113125	0.024278437500000014	2.7714350775618186	1
GimmeMotifs_3		0.0006626422050672875	9.25	0.0925	3.834509282929438e-07	6.416290206513426	45.0	0.6830818109610803	2.4009182613559843	1	2.6758792208973105e-19	0.2182670661445376	0.02	0.6515987499999999	0.017662500000000015	2.487052504588594	1
GimmeMotifs_4	GM.5.0.C2H2	7.771561172376096e-16	8.571428571428571	0.09	2.8102681680845078e-08	7.551252235837839	32.5	0.7046632124352332	3.06407580575893	1	4.507046883172364e-18	0.2767261667967792	0.0025	0.7216156249999999	0.026954374999999996	2.5966320916748935	2
GimmeMotifs_5	GM.5.0.THAP	1.7208842534310875e-06	8.0	0.08	0.0581374499872665	1.2355440210820359	25.0	0.686046511627907	2.3052955401431374	5	1.3862986591123048e-15	0.20863691909512275	0.0025	0.6839175000000001	0.018091562499999995	2.7292510846734803	1
GimmeMotifs_6	GM.5.0.C2H2	5.3137977626960264e-06	3.5	0.035	0.0007029125042374065	3.1530987308717324	15.0	0.6745332863684396	1.6907277274934212	3	0.0002287855838090712	0.15356807714669707	0.0025	0.6232159374999999	0.012771562500000002	2.6457211146671047	0
GimmeMotifs_7	GM.5.0.C2H2	2.555330735898309e-08	1.75	0.0175	1.5239652391195987e-08	7.817024938922084	5.0	0.7009741634900466	1.8062346390342894	1	0.12991584751582935	0.16190458528631896	0.0	0.6931715625	0.012098794642857142	2.355174399008317	1
GimmeMotifs_8	GM.5.0.C2H2	2.125514109851956e-05	10.24390243902439	0.105	0.00017644869168076906	3.7533815574679625	30.0	0.6812790587342253	2.7654721737416073	3	6.413599357621683e-23	0.2521098460749657	0.0	0.682418125	0.024188750000000016	2.628842672752243	1
GimmeMotifs_9		1.3613682403601501e-09	3.170731707317073	0.0325	8.086128228732157e-05	4.092259375964348	3.648648648648649	0.6835232008891359	1.6889940150393885	4	0.0008262446825635582	0.152970456732284	0.0	0.64712625	0.012225937499999997	2.530241103301733	0
GimmeMotifs_10		1.8386403510817217e-12	3.5555555555555554	0.04	0.00557959387858811	2.2533974108665347	8.0	0.6696234455170015	1.4591540209302876	1	7.062234664850077e-05	0.1297145078879887	0.0	0.5955137500000001	0.009555758928571429	2.578809383874828	0
GimmeMotifs_11		4.6461134939335125e-10	2.75	0.0275	0.1504770609046126	0.8225296999495303	13.333333333333334	0.6693555307646101	1.5011486237996559	1	0.005144450181345934	0.13631791598699455	0.0	0.5948790625	0.010520625000000004	2.8226442090114516	0
GimmeMotifs_12		4.1062227607024937e-07	1.3157894736842104	0.025	0.029506250588563196	1.530085973561768	5.0	0.6723830545886748	1.2303944615995013	1	0.25244713305000027	0.11162140707266713	0.0	0.56142375	0.0063682638888888895	2.246771704802422	0
GimmeMotifs_13		0.0012855541346650234	2.25	0.0225	0.006137170356696974	2.212031821323108	3.0	0.6685656836461126	1.2270788618999209	1	0.03008621322796745	0.1115526238090837	0.0	0.550453125	0.007806249999999989	2.8846370974791293	0
GimmeMotifs_14		0.0	2.2	0.0275	4.913258346129487e-13	12.308630399441682	5.0	0.6675116180819604	1.189714744971741	1	0.01983084894157299	0.10693627385529242	0.0	0.5500696875	0.006709568014705887	2.210816930409685	1
