Motif	Sig	p-value	# sample	# background	Enrichment
Motif.7.2	131.526870234	1.33764934155e-130	592	2583	2.292
Motif.6.2	37.758247753	4.13248380089e-38	702	5266	1.333
Motif.6.3	32.5621194369	5.60622335221e-33	447	2832	1.578
Motif.7.5	9.3117420841	6.65206508517e-10	404	3191	1.266
Motif.7.1	48.7409420837	6.2853154299e-49	304	1369	2.221
Motif.5.3	47.951806429	3.5915180139e-48	583	3760	1.551
Motif.7.4	18.0224719978	1.47347413944e-18	539	4141	1.302
Motif.7.3	24.6408148201	4.11583243169e-25	488	3424	1.425
Motif.5.1	22.5857933788	4.49206246722e-23	559	4184	1.336
Motif.8.1	54.3846737332	1.54652709968e-54	296	1241	2.385
Motif.8.2	74.9475338334	8.46306019777e-75	354	1405	2.520
Motif.10.2	47.4934722686	9.63050333732e-48	224	846	2.648
Motif.10.3	73.0476159386	5.76100875393e-73	171	382	4.476
Motif.10.1	78.1133568971	6.93243190437e-78	200	487	4.107
Motif.10.6	8.67223495485	2.65873503329e-09	122	726	1.680
Motif.10.7	63.6586870408	1.23434194133e-63	217	663	3.273
Motif.10.4	30.477760383	6.24080896961e-31	127	433	2.933
Motif.10.5	57.4317197786	1.51390997314e-57	160	412	3.883
Motif.8.4	42.7263709114	4.97041534024e-43	343	1751	1.959
Motif.10.8	20.9532052403	1.85628010191e-21	52	120	4.333
Motif.10.9	1.19473230048	0.0718489162883	26	191	1.361
Motif.7.7	0.147348002054	0.745411444216	345	3523	0.979
Motif.8.5	20.1350671273	1.17757168692e-20	347	2269	1.529
Motif.9.5	61.719756723	8.57937776166e-62	359	1595	2.251
Motif.9.4	62.3274569769	2.35241005713e-62	302	1191	2.536
Motif.9.7	3.5033643605	0.000371590460877	73	492	1.484
Motif.9.6	39.0140551719	2.42038713998e-39	178	650	2.738
Motif.9.1	82.0961417357	1.20212470735e-81	278	865	3.214
Motif.9.3	34.297230625	1.13488509719e-34	258	1247	2.069
Motif.8.6	7.41296281016	4.6994602396e-08	284	2164	1.312
Motif.9.2	45.0270090538	2.64291671342e-45	248	1029	2.410
Motif.6.6	0.00819994412975	0.981296061711	584	6113	0.955
Motif.8.3	103.600210072	5.64901133776e-103	401	1441	2.783
Motif.8.7	17.4268281842	5.61387935005e-18	397	2801	1.417
Motif.9.9	1.86767399915	0.0156485429999	149	1263	1.180
Motif.9.8	32.0338328764	1.80988841986e-32	87	216	4.028
Motif.6.1	81.1312961502	8.31488739751e-81	460	2108	2.182
Motif.10.10	0.599098012918	0.269690228012	50	454	1.101
Motif.8.8	0.0545650449415	0.901975606363	143	1552	0.921
Motif.6.5	16.1334175116	1.06766082659e-16	711	6038	1.178
Motif.5.2	13.4178166002	5.37335996538e-14	529	4223	1.253
Motif.5.5	8.80907636121	2.05426863606e-09	485	4004	1.211
Motif.5.4	34.1476889392	1.5251209253e-34	713	5488	1.299
Motif.7.6	1.0634484593	0.0948375219859	422	4022	1.049
Motif.6.4	8.6790710775	2.69198968794e-09	464	3804	1.220
