factor	motifs
9430076C15RIK	bZIP_Average_150
AC002126.6	MADS_box_Average_21,MADS_box_M3420_1.01,MADS_box_M3423_1.01
AC012531.1	Homeodomain_Average_268,Homeodomain_Average_314,Homeodomain_Average_353,Homeodomain_Average_367,Homeodomain_Average_399,Homeodomain_Average_402,Homeodomain_Average_404,Homeodomain_Average_405,Homeodomain_M3298_1.01,Homeodomain_M3303_1.01,Homeodomain_M6112_1.01,Homeodomain_M6118_1.01,Homeodomain_M6123_1.01
AC168977.1	SAND_M1429_1.01
AC189028.1	Homeodomain_Average_385
AC226150.2	Homeodomain_M0811_1.01
AHCTF1	AT_hook_M0131_1.01
AHR	bHLH_Average_160,bHLH_M2787_1.01
AHRR	bHLH_Average_160,bHLH_M2787_1.01
AIRE	SAND_M5959_1.01
AL592170.2	Homeodomain_Average_332
AL662824.5	Nuclear_receptor_Average_170,Nuclear_receptor_Average_174,Nuclear_receptor_Average_62
AL662828.6	bZIP_Average_142
AL662830.5	Homeodomain_Average_186,Homeodomain_Average_370,Homeodomain_Average_399,Homeodomain_M0992_1.01
AL662833.4	Homeodomain_POU_Average_43,Homeodomain_POU_Average_45,Homeodomain_POU_Average_46,Homeodomain_POU_Average_47
AL662834.13	C2H2_ZF_M0402_1.01
AL773544.1	Homeodomain_POU_Average_43,Homeodomain_POU_Average_45,Homeodomain_POU_Average_46,Homeodomain_POU_Average_47
AL844527.7	Nuclear_receptor_Average_170,Nuclear_receptor_Average_174,Nuclear_receptor_Average_62
AL844853.8	C2H2_ZF_M0402_1.01
AL845464.3	Homeodomain_Average_186,Homeodomain_Average_370,Homeodomain_Average_399,Homeodomain_M0992_1.01
ALX1	Homeodomain_Average_332,Homeodomain_Average_385,Homeodomain_Average_404,Homeodomain_Average_405,Homeodomain_M2886_1.01,Homeodomain_M6258_1.01
ALX3	Homeodomain_Average_332,Homeodomain_Average_404,Homeodomain_Average_405
ALX4	Homeodomain_Average_332,Homeodomain_Average_385,Homeodomain_Average_404,Homeodomain_Average_405,Homeodomain_M2886_1.01,Homeodomain_M6258_1.01
AR	Nuclear_receptor_Average_157,Nuclear_receptor_Average_171,Nuclear_receptor_M1331_1.01,Nuclear_receptor_M1354_1.01,Nuclear_receptor_M6157_1.01
ARID3A	ARID_BRIGHT_Average_1,ARID_BRIGHT_Average_3,ARID_BRIGHT_M0104_1.01,ARID_BRIGHT_M5966_1.01
ARID3B	ARID_BRIGHT_Average_1,ARID_BRIGHT_Average_3,ARID_BRIGHT_M0104_1.01,ARID_BRIGHT_M5966_1.01
ARID3C	ARID_BRIGHT_Average_1,ARID_BRIGHT_Average_3,ARID_BRIGHT_M0104_1.01,ARID_BRIGHT_M5966_1.01
ARID5A	ARID_BRIGHT_Average_2,ARID_BRIGHT_Average_4,ARID_BRIGHT_M0108_1.01
ARID5B	ARID_BRIGHT_Average_2,ARID_BRIGHT_Average_4,ARID_BRIGHT_M0108_1.01
ARNT	bHLH_Average_148,bHLH_Average_160,bHLH_M0177_1.01,bHLH_M5969_1.01,bHLH_M5981_1.01
ARNT2	bHLH_Average_148,bHLH_Average_160,bHLH_M0177_1.01,bHLH_M5969_1.01,bHLH_M5981_1.01
ARNTL	bHLH_Average_148,bHLH_M5981_1.01
ARNTL2	bHLH_Average_148,bHLH_M5981_1.01
ARX	Homeodomain_Average_332,Homeodomain_Average_385,Homeodomain_Average_404,Homeodomain_Average_405,Homeodomain_M2886_1.01,Homeodomain_M6258_1.01
ASCL1	bHLH_Average_165
ASCL2	bHLH_Average_165
ATF1	bZIP_Average_134,bZIP_Average_150,bZIP_M0287_1.01,bZIP_M3882_1.01,bZIP_M3883_1.01
ATF2	bZIP_Average_134,bZIP_Average_145,bZIP_Average_150
ATF3	bZIP_Average_117,bZIP_Average_143,bZIP_Average_146,bZIP_Average_149,bZIP_Average_150
ATF4	bZIP_Average_151,bZIP_Average_67
ATF5	bZIP_Average_151,bZIP_Average_67,bZIP_M5973_1.01
ATF5.2	bZIP_Average_151,bZIP_Average_67,bZIP_M5973_1.01
ATF6	bZIP_Average_142
ATF6B	bZIP_Average_142
ATF7	bZIP_Average_134,bZIP_Average_145,bZIP_Average_150
ATOH1	bHLH_Average_140,bHLH_Average_165,bHLH_M2134_1.01
ATOH7	bHLH_Average_140,bHLH_Average_165,bHLH_M2134_1.01
ATOH8	bHLH_Average_140,bHLH_Average_165
BACH1	bZIP_Average_148,bZIP_Average_149
BACH2	bZIP_Average_148,bZIP_Average_149
BAPX	Homeodomain_Average_289,Homeodomain_Average_338,Homeodomain_Average_349,Homeodomain_Average_394,Homeodomain_Average_405,Homeodomain_M2172_1.01
BARHL1	Homeodomain_Average_238,Homeodomain_Average_34,Homeodomain_Average_349,Homeodomain_Average_380
BARHL2	Homeodomain_Average_238,Homeodomain_Average_34,Homeodomain_Average_349,Homeodomain_Average_380
BARX1	Homeodomain_Average_261,Homeodomain_Average_404,Homeodomain_Average_405,Homeodomain_M5976_1.01
BARX2	Homeodomain_Average_404,Homeodomain_M5976_1.01
BATF	bZIP_Average_149,bZIP_Average_150
BATF3	bZIP_Average_149,bZIP_Average_150
BBX	Sox_Average_95
BCL11A	C2H2_ZF_M4323_1.01
BCL11B	C2H2_ZF_M4323_1.01
BCL6	C2H2_ZF_Average_202,C2H2_ZF_M5955_1.01
BCL6B	C2H2_ZF_M0360_1.01,C2H2_ZF_M5122_1.01
BHLHA15	bHLH_Average_140
BHLHE22	bHLH_Average_140
BHLHE23	bHLH_Average_140,bHLH_M0210_1.01
BHLHE40	bHLH_Average_148,bHLH_Average_164,bHLH_M5980_1.01
BHLHE41	bHLH_Average_148,bHLH_Average_164,bHLH_M5980_1.01
BPTF	Unknown_Average_6
BRCA1	EIN3_Average_1,EIN3_Average_2
