motif	factors
AP-2_Average_26	TCFAP2A,TCFAP2B,TCFAP2C,TCFAP2D,TCFAP2E,TFAP2A,TFAP2B,TFAP2C,TFAP2E
AP-2_Average_17	TCFAP2D,TFAP2A,TFAP2C,TFAP2E
AP-2_Average_27	TCFAP2A,TCFAP2D,TFAP2A,TFAP2B,TFAP2C,TFAP2E
AP-2_Average_15	TCFAP2A,TCFAP2D,TFAP2A,TFAP2B,TFAP2C,TFAP2E
AP-2_M5965_1.01	TCFAP2D,TFAP2A,TFAP2C,TFAP2D,TFAP2E
ARID_BRIGHT_Average_1	ARID3A,ARID3B,ARID3C
ARID_BRIGHT_M0104_1.01	ARID3A,ARID3B,ARID3C
ARID_BRIGHT_Average_3	ARID3A,ARID3B,ARID3C
ARID_BRIGHT_M5966_1.01	ARID3A,ARID3B,ARID3C
ARID_BRIGHT_Average_4	ARID5A,ARID5B
ARID_BRIGHT_M0108_1.01	ARID5A,ARID5B
ARID_BRIGHT_Average_2	ARID5A,ARID5B
AT_hook_M6098_1.01	HMGA1,HMGA1-RS1
AT_hook_M0127_1.01	
AT_hook_M0131_1.01	AHCTF1
AT_hook_M0133_1.01	PHF21A
AT_hook_M6099_1.01	HMGA1,HMGA1-RS1,HMGA2
AT_hook_Average_2	HMGA1,HMGA1-RS1,HMGA2,SETBP1
AT_hook_M0128_1.01	
AT_hook_Average_1	
bHLH_bZIP_Average_10	MAX
bHLH_bZIP_M5432_1.01	MAX
bHLH_Average_165	ASCL1,ASCL2,ATOH1,ATOH7,ATOH8,FIGLA,ID1,ID2,ID3,ID4,LOC100493338,LYL1,MESP1,MESP2,MESPA,MESPB,MSC,MSGN1,MYF5,MYF6,MYOD1,MYOG,NEUROD1,NEUROD2,NEUROD4,NEUROD6,NEUROG1,NEUROG2,NEUROG3,NHLH1,NHLH2,SCX,SCXA,SCXB,TAL1,TAL2,TCF12,TCF15,TCF21,TCF23,TCF3,TCF4,TFAP4,TWIST1,TWIST2
bHLH_M2134_1.01	ATOH1,ATOH7,NEUROD1,NEUROD4,NEUROD6
bHLH_Average_151	MYF5,MYF6,MYOD1,MYOG,TCFAP4
bHLH_M6260_1.01	PTF1A
bHLH_Average_27	HES3.1,HES3.3,HES5,HES5.1,HES5.2,HES7,HES9.1,NP_001037951.1
bHLH_M5981_1.01	ARNT,ARNT2,ARNTL,ARNTL2
bHLH_Average_154	HES1,HES2,HES4,HEY1,HEY2,HEYL
bHLH_Average_164	BHLHE40,BHLHE41,CLOCK,HES1,HES2,HES3.1,HES3.3,HES4,HES5,HES5.1,HES5.2,HES7,HES9.1,MAX,MITF,MLX,MNT,NPAS2,NP_001037951.1,PASD1,TCFE3,TCFEC,TCFL5,TFEB,TFEC
bHLH_Average_148	ARNT,ARNT2,ARNTL,ARNTL2,BHLHE40,BHLHE41,CLOCK,HEY1,HEY2,HEYL,ID1,ID2,ID3,ID4,MITF,MLX,MLXIP,MLXIPL,MNT,MXI1,MYC,MYCL1,MYCN,MYCS,NPAS2,PASD1,SREBF1,SREBF2,TCFEB,TFE3,TFEB,TFEC,USF1,USF2
